མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,162,5,《པེ་》《སྣར་》,དབྱུག,,
,,163,6,《པེ་》《སྣར་》,དབྱུག,,
,,164,7,《པེ་》《སྣར་》,ཀྱིས།,,
,,165,8,《ཅོ་》,བསོད།,,
,756,166,1,《སྣར་》,བསོད།,,
,,167,2,《པེ་》《སྣར་》,སྟེ།,,
,,168,3,《པེ་》《སྣར་》,འབབས།,,
,,169,4,《ཅོ་》,ཞིག,,
,,170,5,《ཅོ་》,པར།,,
,,171,6,《པེ་》《སྣར་》,འབབས།,,
,,172,7,《ཅོ་》,སྤྱོད།,,
,757,173,1,《པེ་》《སྣར་》,འབབས།,,
,,174,2,《པེ་》《སྣར་》,mབའི།,,
,,175,3,《ཅོ་》,བསད།,,
,,176,4,《པེ་》《སྣར་》,དེ།,,
,758,177,1,《པེ་》《སྣར་》,པར་བྱུང་།,,
,,178,2,《པེ་》,ཕྱིར།,,
,,179,3,《པེ་》,གྱི།,,
,,180,4,《པེ་》《སྣར་》,mདང་།,,
,,181,5,《པེ་》《སྣར་》,གི་བསད།,,
,,182,6,《པེ་》《སྣར་》,དང་།,,
,,183,7,《པེ་》《སྣར་》,ཀྱི།,,
,,184,8,《པེ་》《སྣར་》,དབྱུག,,
,,185,9,《པེ་》《སྣར་》,ནི།,,
,,186,10,《པེ་》,ཕྱིར།,,
,,187,11,《པེ་》,གྱི།,,
,759,188,1,《པེ་》《སྣར་》,ནི།,,
,,189,2,《ཅོ་》,གཏབ།,,
,,190,3,《པེ་》《སྣར་》,གསོད།,,
,,191,4,《པེ་》《སྣར་》,ན།,,
,,192,5,《པེ་》《སྣར་》,pདུ།,,
,760,193,1,《པེ་》,གི།,,
,,194,2,《པེ་》《སྣར་》,གསོད།,,
,,195,3,《སྣར་》,mརོ།,,
,,196,4,《ཅོ་》,ཐགས།,,
,,197,5,《པེ་》《སྣར་》,ཀྱི།,,
,,198,6,《ཅོ་》,པས།,,
,,199,7,《པེ་》《སྣར་》,གྱི།,,
,,200,8,《པེ་》《སྣར་》,གསོད།,,
,,201,9,《པེ་》《སྣར་》,ལས།,,
,,202,10,《པེ་》,mམི་ཤི་ཡང་རུང་།,,
,,203,11,《པེ་》《སྣར་》,ཏེ།,,
,,204,12,《པེ་》《སྣར་》,mནི།,,
,,205,13,《པེ་》《སྣར་》,སྟེ།  བུ་ཕོ།,《ཅོ་》,པས་བུ་ཕོ།,
,,206,14,《སྣར་》,ཉི།,,
,,207,15,《པེ་》《སྣར་》,འཚོང་།,,
,,208,16,《པེ་》《སྣར་》,བསྒུག,,
,,209,17,《ཅོ་》,དུས།,,
,,210,18,《པེ་》《སྣར་》,འཛེ།,,
,761,211,1,《པེ་》《སྣར་》,ཅིག,,
,,212,2,《པེ་》《སྣར་》,གི།,,
,,213,3,《པེ་》《སྣར་》,བསད།,,
,,214,4,《པེ་》,སྒོམ།,,
,,215,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,216,6,《པེ་》《སྣར་》,གི།,,
,,217,7,《པེ་》《སྣར་》,པའམ།,,
,,218,8,《པེ་》《སྣར་》,བསད།,,
