མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,37,144,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,145,2,《པེ་》《སྣར་》,pདེ།,,,,,
,,146,3,《པེ་》《སྣར་》,མཚམས།,,,,,
,,147,4,《པེ་》《སྣར་》,པ།,,,,,
,,148,5,《པེ་》《སྣར་》,བརྩོམ་པར།,,,,,
,,149,6,《པེ་》《སྣར་》,pཐོག་མ་དང་བར་དང་།,,,,,
,,150,7,《པེ་》《སྣར་》,བསྡམས།,,,,,
,,151,8,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,152,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,38,153,1,《པེ་》《སྣར་》,ལ།,,,,,
,,154,2,《པེ་》《སྣར་》,ལས།,,,,,
,,155,3,《པེ་》《སྣར་》,རོ།།,,,,,
,39,156,1,《པེ་》《སྣར་》,སྡུ་བའི།,,,,,
,,157,2,《པེ་》《སྣར་》,བཞག,,,,,,,,, (འདིའི་འོག་གི་མཉམ་པ་བཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་མཉམ་པ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,158,3,《པེ་》《སྣར་》,mའཇོག,,,,,
,,159,4,《པེ་》《སྣར་》,མ།,,,,,
,40,160,1,《པེ་》《སྣར་》,ལས།,,,,,
,,161,2,《པེ་》《སྣར་》,mཔའི།,,,,,
,,162,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,41,163,1,《པེ་》《སྣར་》,པ།,,,,,
,,164,2,《པེ་》《སྣར་》,pན།,,,,,
,,165,3,《པེ་》《སྣར་》,pས་བོན་དང་དྲག་པོའི།,,,,,
,42,166,1,《པེ་》《སྣར་》,གཏན,,,,,
,,167,2,《པེ་》《སྣར་》,པའི།,,,,,
,,168,3,《པེ་》《སྣར་》,སྡུད།,,,,,
,43,169,1,《སྣར་》,པར།,,,,,
,,170,2,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,171,3,《པེ་》《སྣར་》,བརྩོལ།,,,,,
,,172,4,《པེ་》《སྣར་》,སྔགས།,,,,,
,,173,5,《པེ་》《སྣར་》,རྗེའི་ནས་ལས།,,,,,
,,174,6,《པེ་》《སྣར་》,བས།,,,,,
,,175,7,《པེ་》《སྣར་》,pངེ་།,,,,,
,44,176,1,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,177,2,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,178,3,《པེ་》《སྣར་》,བོ།,,,,,
,45,179,1,《པེ་》《སྣར་》,པའི།,,,,,
,,180,2,《པེ་》《སྣར་》,mབ།,,,,,
,,181,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,182,4,《པེ་》《སྣར་》,pཡག་ལག་དྲུག་པའོ།།,,,,,
,,183,5,《པེ་》《སྣར་》,གིས།,,,,,
,,184,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,185,7,《པེ་》《སྣར་》,ཏེ།,,,,,
,46,186,1,《པེ་》《སྣར་》,སྲིད།,,,,,
,,187,2,《པེ་》《སྣར་》,mདུ།,,,,,
,,188,3,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,189,4,《པེ་》《སྣར་》,པའི།,,,,,
,,190,5,《པེ་》《སྣར་》,pབར་བྱ།,,,,,
,,191,6,《པེ་》《སྣར་》,ལང་།,,,,,
,,192,7,《པེ་》《སྣར་》,ཚིགས་ཚད་ཙམ་ནི།,,,,,
,,193,8,《པེ་》《སྣར་》,བོས།,,,,,
,47,194,1,《པེ་》《སྣར་》,ཧྲཱིཿ,,,,,
,,195,2,《པེ་》《སྣར་》,བཟླས།,,,,,
,,196,3,《པེ་》《སྣར་》,སྤོ།,,,,,
,,197,4,《པེ་》《སྣར་》,རིམ།,,,,,
,,198,5,《པེ་》《སྣར་》,པོའོ།,,,,,
,48,199,1,《པེ་》《སྣར་》,གསོད།,,,,,
,,200,2,《པེ་》《སྣར་》,pཞི་བ་སྲོད་ཀྱི་དུས་སུ་བྱ།།,,,,,
,,201,3,《པེ་》《སྣར་》,ཡིན།,,,,,
,,202,4,《པེ་》《སྣར་》,བ།,,,,,
,,203,5,《པེ་》《སྣར་》,ཥཌ།,,,,,
,,204,6,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,205,7,《པེ་》《སྣར་》,ན།,,,,,
,,206,8,《པེ་》《སྣར་》,ནི།,,,,,
,,207,9,《པེ་》《སྣར་》,དེ།,,,,,
,,208,10,《པེ་》《སྣར་》,གྱིས།,,,,,
,49,209,1,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,210,2,《པེ་》《སྣར་》,སྟན།,,,,,
,,211,3,《པེ་》《སྣར་》,pཀྱིས།,,,,,
,,212,4,《པེ་》《སྣར་》,mཅེས།,,,,,
,,213,5,《པེ་》《སྣར་》,ཏོ་ཞེས་བྱ་བ་ལ་སོགས་པའོ།།,,,,,
,,214,6,《པེ་》《སྣར་》,mདང་།,,,,,
,50,215,1,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,216,2,《པེ་》《སྣར་》,pའདི་སྐད།,,,,,
,,217,3,《པེ་》《སྣར་》,བྃ་མཱ་ཡ།,,,,,
,,218,4,《པེ་》《སྣར་》,pཔ།,,,,,
,51,219,1,《པེ་》《སྣར་》,གཞུགས།,,,,,
,,220,2,《པེ་》《སྣར་》,ནི།,,,,,
,,221,3,《པེ་》《སྣར་》,pསྟེ།,,,,,
,52,222,1,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,223,2,《པེ་》,ཡིན་ཏེ།,《སྣར་》,རང་བཞིན་ཏེ།,,,,
,,224,3,《པེ་》《སྣར་》,pཔ།,,,,,
,53,225,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,226,2,《པེ་》《སྣར་》,དེ།,,,,,
,,227,3,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,228,4,《པེ་》《སྣར་》,འཇིགས།,,,,,
,,229,5,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,230,6,《པེ་》《སྣར་》,མོ་དེ།,,,,,
,,231,7,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,232,8,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,233,9,《པེ་》《སྣར་》,ཤཱཀྱ།,,,,,
,,234,10,《པེ་》《སྣར་》,བསྐུལ།,,,,,
,,235,11,《པེ་》《སྣར་》,མཱ་ཡ་ཞེས་པས་ནི་ཨེ་བཾ།,,,,,
,54,236,1,《པེ་》《སྣར་》,pནི།,,,,,
,,237,2,《པེ་》《སྣར་》,གྱིས།,,,,,
,,238,3,《པེ་》《སྣར་》,སློངས།,,,,,
,,239,4,《པེ་》《སྣར་》,བཟླ་སྟེ།,,,,,
,,240,5,《པེ་》《སྣར་》,བླངས།,,,,,
,,241,6,《པེ་》《སྣར་》,pཀྱི།,,,,,
,55,242,1,《པེ་》《སྣར་》,བཙུམ།,,,,,
,,243,2,《པེ་》《སྣར་》,ཞུགས།,,,,,
,,244,3,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,245,4,《པེ་》《སྣར་》,མཱ།,,,,,
,,246,5,《པེ་》《སྣར་》,ཡ།,,,,,
,56,247,1,《པེ་》,སྐུ།,,,,,
,,248,2,《པེ་》《སྣར་》,ཅིག,,,,,
,,249,3,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,57,250,1,《པེ་》《སྣར་》,སོགས།,,,,,
,,251,2,《པེ་》《སྣར་》,mངེ་།,,,,,
,58,252,1,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,253,2,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,254,3,《པེ་》《སྣར་》,ནོ།,,,,,
,59,255,1,《པེ་》《སྣར་》,mལ།,,,,,
,,256,2,《པེ་》《སྣར་》,pགྱི།,,,,,
,,257,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,258,4,《པེ་》《སྣར་》,སྟོན།,,,,,
,,259,5,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,260,6,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,261,7,《པེ་》《སྣར་》,ཞིག།,,,,,
,,262,8,《པེ་》《སྣར་》,ཡིན།,,,,,
,,263,9,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,,264,10,《པེ་》《སྣར་》,pནི།,,,,,
,,265,11,《པེ་》《སྣར་》,ཧྲཱིཿ,,,,,
,,266,12,《པེ་》《སྣར་》,བརླབས།,,,,,
,,267,13,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,268,14,《པེ་》《སྣར་》,མཱ་ཡ།,,,,,
,60,269,1,《པེ་》《སྣར་》,མཱ།,,,,,
,,270,2,《པེ་》《སྣར་》,ཡ།,,,,,
,,271,3,《པེ་》《སྣར་》,mརབ་ཏུ།,,,,,
