མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,181,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,182,3,《པེ་》《སྣར་》,གི་སྔགས་ཤེས།,,,,,,
,,183,4,《པེ་》《སྣར་》,གི།,,,,,,
,,184,5,《པེ་》《སྣར་》,དེས།,,,,,,
,,185,6,《པེ་》《སྣར་》,བསལ།,,,,,,
,,186,7,《པེ་》《སྣར་》,ཁོ་བོ།,,,,,,
,,187,8,《པེ་》,རིགས།,,,,,,
,,188,9,《སྣར་》,ཚིགས།,,,,,,
,,189,10,《པེ་》《སྣར་》,ཡི།,,,,,,
,,190,11,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,191,12,《པེ་》《སྣར་》,པ་ཡི།,,,,,,
,498,192,1,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,193,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,194,3,《པེ་》《སྣར་》,བཟའ།,,,,,,
,,195,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,196,5,《པེ་》《སྣར་》,རྒལ།,,,,,,
,,197,6,《པེ་》《སྣར་》,ལའང་།,,,,,,
,,198,7,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,199,8,《པེ་》《སྣར་》,གི།,,,,,,
,,200,9,《པེ་》《སྣར་》,པར།,,,,,,
,,201,10,《པེ་》《སྣར་》,མི།,,,,,,
,,202,11,《པེ་》《སྣར་》,སྒྲ།,,,,,,
,,203,12,《པེ་》《སྣར་》,པར།,,,,,,
,499,204,1,《པེ་》《སྣར་》,། །,,,,,,
,,205,2,《པེ་》,འདྲའི།,《སྣར་》,འདིའི།,,,,,
,,206,3,《པེ་》《སྣར་》,མི་གྲང་ཟློག,,,,,,
,,207,4,《པེ་》《སྣར་》,ཆོས།,,,,,,
,,208,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,209,6,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,210,7,《པེ་》《སྣར་》,དོན།,,,,,,
,,211,8,《པེ་》《སྣར་》,ཅེས།,,,,,,
,,212,9,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,213,10,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,500,214,1,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,215,2,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,216,3,《པེ་》《སྣར་》,འགས།,,,,,,
,,217,4,《པེ་》《སྣར་》,རིགས།,,,,,,
,,218,5,《པེ་》《སྣར་》,pགི།,,,,,,
,,219,6,《པེ་》《སྣར་》,སླུ།,,,,,,
