མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,,180,8,《པེ་》《སྣར་》,ཏེ།,,
,,181,9,《སྣར་》,བསྒོ།,,
,343,182,1,《པེ་》《སྣར་》,pནི།,,
,,183,2,《པེ་》《སྣར་》,བསྒོ།,,
,,184,3,《པེ་》,ལས།,,
,,185,4,《པེ་》《སྣར་》,pགཞན་ནི་དེ་ལས།,,
,,186,5,《པེ་》《སྣར་》,བལྟོས།,,
,,187,6,《པེ་》《སྣར་》,mལ།,,
,,188,7,《པེ་》《སྣར་》,གྱིས།,,
,,189,8,《པེ་》《སྣར་》,mམ།,,
,344,190,1,《སྣར་》,ཏོ།,,
,,191,2,《པེ་》《སྣར་》,mནི།,,
,,192,3,《པེ་》《སྣར་》,གྱུར།,,
,,193,4,《པེ་》《སྣར་》,mནི།,,
,,194,5,《པེ་》《སྣར་》,འགྱུར།,,
,,195,6,《པེ་》,mན།,,
,,196,7,《པེ་》《སྣར་》《ཅོ་》,སྟོང་།,,
,,197,8,《པེ་》,དེས།,,
,,198,9,《ཅོ་》,pཉིད།,,
,345,199,1,《ཅོ་》,ཏོ།,,
,,200,2,《ཅོ་》,པས།,,
,,201,3,《སྣར་》,རིགས།,,
,346,202,1,《པེ་》《སྣར་》,འགག,,
,,203,2,《པེ་》《སྣར་》,བས།,,
,,204,3,《པེ་》《སྣར་》,pལ་སོགས།,,
,,205,4,《པེ་》《སྣར་》,ལས།,,
,,206,5,《པེ་》《སྣར་》,གིས།,,
,,207,6,《པེ་》《སྣར་》,དེས་ན།,,
,,208,7,《ཅོ་》,mལ།,,
,,209,8,《པེ་》《སྣར་》,pལས།,,
,347,210,1,《སྣར་》,mནི།,,
,,211,2,《པེ་》《སྣར་》,mལ་སོགས་པ།,,
,,212,3,《ཅོ་》,pཕྱིར།,,
,,213,4,《པེ་》《སྣར་》,mགནས།,,
,348,214,1,《པེ་》《སྣར་》,རྣམས།,,
,,215,2,《པེ་》《སྣར་》,mཉིད།,,
,,216,3,《པེ་》《སྣར་》,ནི།,,
,,217,4,《སྣར་》,པའི།,,
,349,218,1,《པེ་》《སྣར་》,mརོ།,,
,,219,2,《པེ་》《སྣར་》,mཡང་།,,
,,220,3,《པེ་》《སྣར་》,བའིའོ།,,
,,221,4,《པེ་》《སྣར་》,གྱིས།,,
,,222,5,《པེ་》《སྣར་》,གྱུར་པ།,,
,,223,6,《སྣར་》,རྒྱལ།,,
,,224,7,《སྣར་》,འགྱུར་བ།,,
,,225,8,《པེ་》,pདེ།, 《སྣར་》,དེ་ལ།,
,,226,9,《པེ་》《སྣར་》,པའི།,,
,,227,10,《པེ་》《སྣར་》,གྱིས།,,
,,228,11,《སྣར་》,pསུ།,,
,350,229,1,《པེ་》《སྣར་》,ལས།,,
,,230,2,《པེ་》《སྣར་》,pན།,,
,,231,3,《སྣར་》,རྟེན།,,
,,232,4,《སྣར་》,གཞི།,,
,351,233,1,《པེ་》《སྣར་》,བརྒྱུན།,,
,,234,2,《པེ་》《སྣར་》,གྱིས།,,
,,235,3,《ཅོ་》,ཁམས་ཀྱི།,,
,,236,4,《ཅོ་》,བསྐྱེད།,,
,,237,5,《པེ་》《སྣར་》,pན།,,
,,238,6,《པེ་》《སྣར་》,འགགས་པར་གྱུར།,,
,352,239,1,《པེ་》《སྣར་》,འགྱུ།,,
,,240,2,《པེ་》《སྣར་》,mངེ།,,
,,241,3,《ཅོ་》,གྱིས།,,
,,242,4,《པེ་》《སྣར་》,རྟེན།,,
,,243,5,《པེ་》《སྣར་》,བཟུང་།,,
,,244,6,《པེ་》《སྣར་》,དེས།,,
,,245,7,《པེ་》《སྣར་》,པའི།,,
,353,246,1,《ཅོ་》,pནི།,,
,,247,2,《སྣར་》,བཞིར།,,
,,248,3,《པེ་》《སྣར་》,pཡང་།,,
,,249,4,《པེ་》《སྣར་》,ཏེ་དེས་ན།,,
,,250,5,《པེ་》《སྣར་》,པར།,,
,354,251,1,《སྣར་》,mདུ།,,
,,252,2,《པེ་》《སྣར་》,mདེའི།,,
,,253,3,《པེ་》《སྣར་》,གྱི།,,
,,254,4,《སྣར་》,གཞེན།,,
,,255,5,《སྣར་》,རྣམས།,,
,,256,6,《པེ་》《སྣར་》,ཐོས།,,
,355,257,1,《པེ་》《སྣར་》,pགང་།,,
,,258,2,《པེ་》,mདེ།,,
,,259,3,《སྣར་》,པའི།,,
,,260,4,《ཅོ་》,pའདི།,,
