མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,460,968,1,《པེ་》《སྣར་》,ནི།,,
,,969,2,《པེ་》《སྣར་》,བརྟགས།,,
,,970,3,《སྣར་》,བརྟགས།,,
,,971,4,《པེ་》,དེ།,,
,,972,5,《སྣར་》,བརྟགས།,,
,,973,6,《པེ་》《སྣར་》,mམི།,,
,461,974,1,《པེ་》《སྣར་》,mདང་།,,
,,975,2,《པེ་》《སྣར་》,པ།,,
,,976,3,《པེ་》《སྣར་》,mདེ་ལས།,,
,,977,4,《པེ་》,བུའི།,,
,462,978,1,《པེ་》《སྣར་》,པར།,,
,,979,2,《པེ་》《སྣར་》,pན།,,
,,980,3,《སྣར་》,ཏོ།,,
,,981,4,《པེ་》《སྣར་》,mགྲོལ་བར།,,
,,982,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,983,6,《སྣར་》,བའི།,,
,,984,7,《སྣར་》,བས།,,
,463,985,1,《པེ་》《སྣར་》,mརོ།,,
,,986,2,《པེ་》《སྣར་》,པས།,,
,,987,3,《པེ་》《སྣར་》,བྱུང་།,,
,,988,4,《པེ་》《སྣར་》,mམ།,,
,,989,5,《སྣར་》,གཞི།,,
,464,990,1,《པེ་》《སྣར་》,དུ།,,
,,991,2,《པེ་》《སྣར་》,གང་།,,
,,992,3,《པེ་》《སྣར་》,རྟོག,,
,,993,4,《པེ་》《སྣར་》,སྤྱོད།,,
,,994,5,《པེ་》《སྣར་》,རྟོག,,
,,995,6,《པེ་》《སྣར་》,mཔ།,,
,,996,7,《པེ་》《སྣར་》,ཀྱི།,,
,,997,8,《པེ་》《སྣར་》,mགྱུར་པ་དེ་ཉིད།,,
,,998,9,《པེ་》《སྣར་》,སྤྱོད།,,
,465,999,1,《པེ་》《སྣར་》,དང་།,,
,,1000,2,《པེ་》《སྣར་》,ཀྱི།,,
,,1001,3,《པེ་》,mབ།,,
,,1002,4,《པེ་》《སྣར་》,pཏིང་ངེ་འཛིན་མེ་ལོང་དང་།,,
,,1003,5,《པེ་》,pདེ།,,
,,1004,6,《པེ་》《སྣར་》,mཡོད་པ།,,
,466,1005,1,《པེ་》《སྣར་》,mཇི་ལྟ།,,
,,1006,2,《པེ་》《སྣར་》,ལྟར།,,
,,1007,3,《པེ་》《སྣར་》,དེ།,,
,467,1008,1,《པེ་》《སྣར་》,mརྣམ་པར་རིག་པར་བྱ་བའི་དོན་མེད་ན།,,
,,1009,2,《སྣར་》,གི།,,
,,1010,3,《པེ་》《སྣར་》,mགྱི།,,
,,1011,4,《པེ་》《སྣར་》,ནི།,,
,468,1012,1,《པེ་》,མཆོག,,
,,1013,2,《པེ་》《སྣར་》,mདཔའ།,,
,,1014,3,《པེ་》《སྣར་》,བལྟ།,,
,,1015,4,《པེ་》《སྣར་》,པོའི།,,
,,1016,5,《པེ་》《སྣར་》,བལྟོས།,,
,,1017,6,《པེ་》《སྣར་》,ཁམས་ཀྱི།,,
,,1018,7,《པེ་》《སྣར་》,རྟོན།,,
,469,1019,1,《པེ་》《སྣར་》,ཉིད་ཅིག་པུར།,,
,,1020,2,《པེ་》《སྣར་》,ལྟར།,,
,,1021,3,《པེ་》《སྣར་》,ལེགས།,,
,,1022,4,《པེ་》《སྣར་》,mམི།,,
,,1023,5,《པེ་》《སྣར་》,mཀྱིས་སངས་རྒྱས།,,
,470,1024,1,《སྣར་》,མོད།,,
,,1025,2,《པེ་》《སྣར་》,mཟས།,,
,,1026,3,《ཅོ་》,སྤྱོད།,,
,,1027,4,《པེ་》《སྣར་》,འཕྲིན།,,
,,1028,5,《པེ་》《སྣར་》,འཕྲིན།,,
,471,1029,1,《པེ་》《སྣར་》,མེད།,,
,472,1030,1,《པེ་》《སྣར་》,བ་ལས།,,
,,1031,2,《པེ་》《སྣར་》,གི།,,
,,1032,3,《སྣར་》,mཔ།,,
,,1033,4,《པེ་》《སྣར་》,ལྟར།,,
,473,1034,1,《པེ་》,ཆགས།,,
,,1035,2,《པེ་》《སྣར་》,mཟླ།,,
,,1036,3,《པེ་》《སྣར་》,བ།,,
,,1037,4,《པེ་》《སྣར་》,mབ།,,
,474,1038,1,《པེ་》,pཔ།,,
,475,1039,1,《པེ་》《སྣར་》,བརྙེད།,,
,,1040,2,《པེ་》《སྣར་》,ལྔར།,,
,,1041,3,《པེ་》《སྣར་》,དཔའ།,,
,,1042,4,《པེ་》,གྱི།,,
,476,1043,1,《པེ་》《སྣར་》,mགྱི།,,
,,1044,2,《པེ་》,བསྒྱུར།,,
,,1045,3,《པེ་》《སྣར་》,དེའི།,,
,,1046,4,《ཅོ་》,པ།,,
,,1047,5,《པེ་》《སྣར་》,བྱ་བ།,,
,,1048,6,《པེ་》《སྣར་》,པས།,,
,,1049,7,《པེ་》《སྣར་》,mལ།,,
,477,1050,1,《པེ་》《སྣར་》,mརྗེས་སུ།,,
,,1051,2,《པེ་》《སྣར་》,བསལ།,,
,,1052,3,《པེ་》《སྣར་》,པ།,,
,478,1053,1,《པེ་》《སྣར་》,ཌཱུརྱ།,,
,,1054,2,《པེ་》《སྣར་》,མུཏྶ་ལ་གརྦྷ།,,
,,1055,3,《པེ་》《སྣར་》,མརྒ་ཏ།,,
,,1056,4,《པེ་》《སྣར་》,བཟུང་།,,
,,1057,5,《པེ་》《སྣར་》,ནོ།,,
,,1058,6,《པེ་》《སྣར་》,དོ།,,
,,1059,7,《པེ་》《སྣར་》,འབྱུང་།,,
,,1060,8,《པེ་》《སྣར་》,རྣམ་པར་རིག་པར།,,
,,1061,9,《པེ་》《སྣར་》,ཞབས།,,
,,1062,10,《པེ་》《སྣར་》,ཅིག་གིས་ཏེ།,,
,,1063,11,《པེ་》《སྣར་》,པ།,,
,,1064,12,《པེ་》《སྣར་》,mཡང་།,,
,479,1065,1,《པེ་》《སྣར་》,དེ།,,
,,1066,2,《པེ་》《སྣར་》,བསམ།,,
,,1067,3,《སྣར་》,གཞོན།,,
,,1068,4,《སྣར་》,དཀོད།,,
,480,1069,1,《པེ་》《སྣར་》,བྱ་བའོ།,,
,,1070,2,《སྣར་》,གིས།,,
,,1071,3,《པེ་》《སྣར་》,དེར།,,
,,1072,4,《པེ་》,རྒྱུར།,,
,,1073,5,《པེ་》《སྣར་》,བལྟོས།,,
,,1074,6,《པེ་》《སྣར་》,འཕྲིན།,,
,,1075,7,《པེ་》,ཀྱང་།,,
,481,1076,1,《པེ་》《སྣར་》,mའདི་ལྟར།,,
,,1077,2,《པེ་》《སྣར་》,གི།,,
,,1078,3,《པེ་》,mཔ།,,
,,1079,4,《སྣར་》,བདག,,
,,1080,5,《པེ་》《སྣར་》,པའི།,,
,,1081,6,《པེ་》《སྣར་》,དཔའི།,,
,482,1082,1,《པེ་》《སྣར་》,mམཐུན་པའི་ཕྱིར་དང་གྲོལ་བ།,,
,,1083,2,《པེ་》《སྣར་》,mཆེན་པོ།,,
,,1084,3,《ཅོ་》,གནས།,,
,,1085,4,《པེ་》《སྣར་》,mལ་འདི།,,
,,1086,5,《པེ་》《སྣར་》,pཔ།,,
,,1087,6,《པེ་》,མ་ཞི།, 《སྣར་》,བ་ནི།,
,,1088,7,《པེ་》《སྣར་》,པ།,,
,,1089,8,《པེ་》《སྣར་》,བརྙེས།,,
,483,1090,1,《པེ་》《སྣར་》,mཉིད།,,
,,1091,2,《པེ་》《སྣར་》,mཡང་།,,
,,1092,3,《པེ་》《སྣར་》,mདེ།,,
,,1093,4,《པེ་》《སྣར་》,ཏོ།,,
,,1094,5,《པེ་》《སྣར་》,གི་ཆོས་ཉིད།,,
,,1095,6,《པེ་》《སྣར་》,ཉིད་ཡིན་ཏེ། ཆོས་ཀྱི་དབྱིངས་གཅིག་པས།,,
,484,1096,1,《པེ་》《སྣར་》,mནི།,,
,,1097,2,《སྣར་》,པར།,,
,,1098,3,《པེ་》《སྣར་》,བསགས་པས།,,
,,1099,4,《པེ་》《སྣར་》,བཞེས།,,
,485,1100,1,《སྣར་》,བསྟོན།,,
,,1101,2,《པེ་》《སྣར་》,དགོས།,,
,,1102,3,《པེ་》《སྣར་》,mདེའི།,,
,,1103,4,《པེ་》《སྣར་》,ནོ།,,
,,1104,5,《པེ་》《སྣར་》,mམ།,,
,,1105,6,《པེ་》《སྣར་》,pསྟེ།,,
,486,1106,1,《པེ་》《སྣར་》,པའི།,,
,,1107,2,《པེ་》《སྣར་》,ཉམས།,,
,,1108,3,《པེ་》《སྣར་》,དཔས།,,
,487,1109,1,《པེ་》《སྣར་》,mམི།,,
,488,1110,1,《སྣར་》,རྒྱལ།,,
,,1111,2,《པེ་》《སྣར་》,བསྟན།,,
,,1112,3,《པེ་》,པ་དེ་བསྟན།, 《སྣར་》,བ་དེ་བསྟོན།,
,,1113,4,《པེ་》《སྣར་》,pདེས།,,
,,1114,5,《པེ་》《སྣར་》《ཅོ་》,པ།,,
,,1115,6,《པེ་》《སྣར་》,གང་དེ་བསྟན།,,
,,1116,7,《པེ་》《སྣར་》,དང་།,,
,,1117,8,《པེ་》《སྣར་》,འཇིག་རྟེན།,,
,,1118,9,《པེ་》《སྣར་》,mཉིད།,,
,,1119,10,《པེ་》《སྣར་》,སློངས།,,
,489,1120,1,《པེ་》《སྣར་》,སློངས།,,
,,1121,2,《པེ་》《སྣར་》,mདེ་དག་ཀྱང་།,,
,,1122,3,《པེ་》《སྣར་》,དེ།,,
,,1123,4,《པེ་》《སྣར་》,mདག,,
,,1124,5,《པེ་》《སྣར་》,འཐོབ།,,
,,1125,6,《པེ་》《སྣར་》,mཔ།,,
,,1126,7,《ཅོ་》,སྒོམ།,,
,,1127,8,《པེ་》《སྣར་》,mགྱི།,,
,,1128,9,《པེ་》《སྣར་》,གྱིས་ཤེའམ།,,
,,1129,10,《པེ་》《སྣར་》,ལོ་ཙཱ།,,
,,1130,11,《པེ་》《སྣར་》,ཧས།,,
,490,1131,1,《པེ་》《སྣར་》,འདུ་དཔེ་དཀར།,,
,,1132,2,《པེ་》《སྣར་》,པ།། །།,,
