མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,48,248,1,《པེ་》《སྣར་》,བཟུང་།   ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཟུང་ཞེས་པ་རྣམས་༧ ༢ལ་བཟུང་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),
,,249,2,《པེ་》《སྣར་》,mནི།,,,,,,,
,,250,3,《པེ་》《སྣར་》,གྱི།,,,,,,,
,,251,4,《པེ་》《སྣར་》,དེ།,,,,,,,
,,252,5,《པེ་》《སྣར་》,ན།,,,,,,,
,,253,6,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,,,
,49,254,1,《པེ་》《སྣར་》,pརོ། ,,,,,,,
,,255,2,《པེ་》《སྣར་》,དྲུག,,,,,,,
,,256,3,《པེ་》《སྣར་》,གིས།,,,,,,,
,,257,4,《པེ་》《སྣར་》,བཅུའོ།,,
,,258,5,《པེ་》《སྣར་》,གི།,,
,,259,6,《པེ་》《སྣར་》,mལ།,,
,,260,7,《པེ་》《སྣར་》,སྒོམ།,,
,,261,8,《པེ་》《སྣར་》,གནོན།,,
,50,262,1,《པེ་》《སྣར་》,དགྲ།,,
,,263,2,《པེ་》《སྣར་》,པ།,,
,,264,3,《པེ་》《སྣར་》,pལ།,,
,,265,4,《པེ་》,pཡེ།,,
,,266,5,《པེ་》《སྣར་》,རྟས།,,
,,267,6,《པེ་》《སྣར་》,རྟས།,,
,,268,7,《པེ་》《སྣར་》,pཔ།,,
,,269,8,《པེ་》《སྣར་》,mདེའི།,,
,,270,9,《པེ་》,པར་བྱ།,,
,,271,10,《པེ་》《སྣར་》,བསྒོམ་པ་དང་།,,
,,272,11,《པེ་》《སྣར་》,གེར།,,
,51,273,1,《པེ་》《སྣར་》,mནི།,,
,,274,2,《པེ་》《སྣར་》,mརྣམ་པ་འདི་གཉིས་ནི་རྗེས་སུ་མཐུན་པའི་ཆོས།,,
,,275,3,《སྣར་》,pནི།,,
,,276,4,《པེ་》《སྣར་》,ཀྱི།,,
,52,277,1,《པེ་》《སྣར་》,དཔའ།,,
,,278,2,《པེ་》《སྣར་》,mལ།,,
,,279,3,《པེ་》《སྣར་》,གྱིས།,,
,,280,4,《སྣར་》,ནི།,,
,,281,5,《པེ་》《སྣར་》,mརོ།,,
,,282,6,《པེ་》《སྣར་》,འདྲེས།,,
,,283,7,《པེ་》《སྣར་》,འདྲེས།,,
,,284,8,《པེ་》《སྣར་》,གེར།,,
,,285,9,《སྣར་》,mམ།,,
,53,286,1,《པེ་》《སྣར་》,ནི།,,
,,287,2,《པེ་》《སྣར་》,གྱིས།,,
,,288,3,《པེ་》《སྣར་》,པར།,,
,,289,4,《པེ་》《སྣར་》,mཔ།,,
,54,290,1,《པེ་》《སྣར་》,མི་གཙང་།,,
,,291,2,《པེ་》《སྣར་》,ཤེས་བྱའི།,,
,,292,3,《པེ་》《སྣར་》,mདུ།,,
,55,293,1,《པེ་》《སྣར་》,གིས།,,
,,294,2,《པེ་》《སྣར་》,ངོ་།,,
,,295,3,《པེ་》《སྣར་》,པ།,,
,,296,4,《པེ་》《སྣར་》,འགྲུབ།,,
,,297,5,《པེ་》《སྣར་》,རྣམ་གསུམ།,,
,,298,6,《པེ་》《སྣར་》,ཀྱིས།,,
,,299,7,《པེ་》《སྣར་》,གྱིས།,,
,56,300,1,《པེ་》《སྣར་》,བྱ།,,
,,301,2,《སྣར་》,རིགས།,,
,,302,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,303,4,《པེ་》《སྣར་》,རིང་།,,
,,304,5,《པེ་》《སྣར་》,ལ།,,
,,305,6,《པེ་》《སྣར་》,རིག,,
,,306,7,《པེ་》《སྣར་》,གིས།,,
,,307,8,《པེ་》《སྣར་》,འགྲུབ།,,
,57,308,1,《པེ་》《སྣར་》,རྗེ།,,
,,309,2,《པེ་》《སྣར་》《ཅོ་》,ཏོ།,,
,,310,3,《པེ་》《སྣར་》,སྤགས་པ།,,
,,311,4,《པེ་》《སྣར་》,mབྱ།,,
,,312,5,《པེ་》《སྣར་》,རྣམ།,,
,,313,6,《པེ་》《སྣར་》,གཉིས།,,
,,314,7,《པེ་》《སྣར་》,སྙོམས་དང་།,,
,,315,8,《པེ་》《སྣར་》,ལས།,,
,,316,9,《པེ་》《སྣར་》,སྤངས་པའི།,,
,,317,10,《པེ་》,རྟོགས།,《སྣར་》,ཏོགས།,
,,318,11,《པེ་》《སྣར་》,mདེ།,,
,58,319,1,《པེ་》《སྣར་》,པ།,,
,,320,2,《པེ་》,བཏགས་པའི་ཡོ་བྱད།,《སྣར་》,བཏགས་པའི་ཡོད་པ།,
,,321,3,《པེ་》《སྣར་》,mནི།,,
,,322,4,《པེ་》《སྣར་》,mའཛིན་པའོ།,,
,59,323,1,《པེ་》《སྣར་》,པ་དང།,,
,,324,2,《པེ་》《སྣར་》,སྐྱེ་བའི།,,
,,325,3,《པེ་》《སྣར་》,འབྱུང་། ,,
,60,326,1,《པེ་》《སྣར་》,mནི།,,
,,327,2,《པེ་》《སྣར་》,pརོ།,,
,,328,3,《པེ་》《སྣར་》,pམོད།,,
,,329,4,《སྣར་》,རྣམས།,,
,,330,5,《པེ་》《སྣར་》,mདངོས་པོ་མེད་པར་རྣམ་པར་རྟོག་པ་ཡང་མཐའོ།།,,
,,331,6,《པེ་》《སྣར་》,དོ།,,
,,332,7,《པེ་》《སྣར་》,བར།,,
,,333,8,《པེ་》《སྣར་》,པ།,,
,,334,9,《པེ་》《སྣར་》,ཀྱི།,,
,,335,10,《པེ་》《སྣར་》,སྤངས་པའི།,,
,,336,11,《པེ་》《སྣར་》,དངས།,,
,,337,12,《པེ་》《སྣར་》,སྤངས་པའི།,,
,61,338,1,《པེ་》《སྣར་》,གཉིས།,,
,,339,2,《པེ་》《སྣར་》,ཀྱི།,,
,,340,3,《པེ་》《སྣར་》,mནི།,,
,62,341,1,《པེ་》《སྣར་》,པར་མེད་པ།,,
,,342,2,《པེ་》《སྣར་》,ན།,,
,,343,3,《པེ་》《སྣར་》,སྒྲུབ།,,
,,344,4,《པེ་》《སྣར་》,mབསྒྲུབ་་བྱའི་དམིགས་པ་དང།,,
,,345,5,《པེ་》《སྣར་》,རྟོག,,
,,346,6,《པེ་》,སོ།,,
,,347,7,《པེ་》,རྟོག,,
,63,348,1,《པེ་》《སྣར་》,བསམ།,,
,,349,2,《པེ་》《སྣར་》,བསྐྱེད།,,
,,350,3,《པེ་》,mནི།,,
,,351,4,《སྣར་》,སྐྱེད།,,
,64,352,1,《པེ་》《སྣར་》,རྟོགས།,,
,,353,2,《པེ་》《སྣར་》,པོ།,,
,,354,3,《པེ་》《སྣར་》,གེ།,,
,,355,4,《པེ་》《སྣར་》,mདོན་གྱི།,,
,,356,5,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,357,6,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,358,7,《པེ་》《སྣར་》,བསྡུས།,,
,64,359,1,《པེ་》,རྟོག,,
,,360,2,《པེ་》《སྣར་》,mམ།,,
,,361,3,《པེ་》《སྣར་》,བསྒོམ།,,
,65,362,1,《པེ་》《སྣར་》,པར།,,
,,363,2,《པེ་》《སྣར་》,པ་སྟེ།,,
