མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,128,10,《པེ་》《སྣར་》,དུ།,
,665,129,1,《པེ་》,ལས་འཐོབ།,《སྣར་》,ལས་ཐོབ།
,,130,2,《པེ་》《སྣར་》,mནི།,
,,131,3,《པེ་》《སྣར་》,དགའ་བ།,
,,132,4,《པེ་》《སྣར་》,ལས།,
,,133,5,《པེ་》《སྣར་》,འཐོབ།,
,,134,6,《པེ་》《སྣར་》,འགྱུར་བ།,
,,135,7,《པེ་》《སྣར་》,བསྟན།,
,,136,8,《པེ་》《སྣར་》,pབ།,
,,137,9,《ཅོ་》,གི།,
,,138,10,《པེ་》《སྣར་》,བས།,
,,139,11,《པེ་》《སྣར་》,བྱའོ།,
,666,140,1,《པེ་》《སྣར་》,རྟོགས།,
,,141,2,《པེ་》《སྣར་》,pབ།,
,,142,3,《པེ་》《སྣར་》,mབ།,
,,143,4,《པེ་》《སྣར་》,ནས།,
,,144,5,《པེ་》《སྣར་》,བརྟགས།,
,,145,6,《པེ་》《སྣར་》,སྣང་བར།,
,,146,7,《པེ་》《སྣར་》,pསོ་སོ།,
,,147,8,《པེ་》《སྣར་》,གེས།,
,,148,9,《པེ་》《སྣར་》,གེས།,
,667,149,1,《པེ་》《སྣར་》,ནི།,
,,150,2,《པེ་》《སྣར་》,བསྒོམ་ན།,
,,151,3,《པེ་》《སྣར་》,བརླབས།,
,,152,4,《པེ་》《སྣར་》,སྐྱོབ་པ།,
,,153,5,《པེ་》《སྣར་》,pགསང་།,
,,154,6,《པེ་》《སྣར་》,གཉིས།,
,,155,7,《པེ་》《སྣར་》,mཔ་ཡིན།,
,,156,8,《པེ་》《སྣར་》,pགསང་།,
,668,157,1,《པེ་》《སྣར་》,ཀྱང་།,
,,158,2,《པེ་》《སྣར་》,pཀྱི།,
,,159,3,《པེ་》《སྣར་》,བསྟན།,
,,160,4,《པེ་》,གཟུང་།,《སྣར་》,གཟུངས།
,,161,5,《སྣར་》,པ།,
,669,162,1,《པེ་》《སྣར་》,mཔ།,
,,163,2,《པེ་》《སྣར་》,གཟུང་།,
,,164,3,《སྣར་》,གཟུང་།,
,,165,4,《པེ་》《སྣར་》,དེ།,
,,166,5,《པེ་》《སྣར་》,ལ།,
,,167,6,《པེ་》《སྣར་》,mབ།,
,,168,7,《པེ་》《སྣར་》,mལ།,
,670,169,1,《པེ་》《སྣར་》,གཉིས།,
,,170,2,《སྣར་》,བརྗོད།,
,,171,3,《སྣར་》,mདེ།,
,,172,4,《པེ་》《སྣར་》,པ།,
,,173,5,《པེ་》《སྣར་》,pཔ།,
,671,174,1,《པེ་》《སྣར་》,འགག,
,,175,2,《པེ་》,ན་གཟོད།,《སྣར་》,ན་བཟོད།
,,176,3,《པེ་》《སྣར་》,pབ།,
,,177,4,《པེ་》《སྣར་》,ནི།,
,,178,5,《པེ་》《སྣར་》,པར།,
,,179,6,《པེ་》《སྣར་》,པས།,
,,180,7,《པེ་》《སྣར་》,mཡང་།,
,,181,8,《པེ་》《སྣར་》,པའི།,
,,182,9,《སྣར་》,བྱ་བའོ།,
,,183,10,《པེ་》《སྣར་》,pདེ།,
,672,184,1,《པེ་》《སྣར་》,བྱས་པ།,
,,185,2,《པེ་》《སྣར་》,ལོངས་སྤྱོད་པ་རྣམ།,
,,186,3,《པེ་》《སྣར་》,པ།,
,,187,4,《པེ་》《སྣར་》,གསོག,
,673,188,1,《པེ་》《སྣར་》,སྒོམ།,
,,189,2,《སྣར་》,སྒོམ།,
,,190,3,《པེ་》《སྣར་》,བསྒོམ།,
,674,191,1,《པེ་》《སྣར་》,སྐལ་བ།,
,,192,2,《པེ་》《སྣར་》,pཟེར།,
,,193,3,《པེ་》《སྣར་》,mདེས།,
,,194,4,《པེ་》《སྣར་》,mགང་།,
,,195,5,《པེ་》《སྣར་》,pཔ།,
,,196,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,197,7,《པེ་》《སྣར་》,དཔས།,
,675,198,1,《པེ་》《སྣར་》,ལ།,
,,199,2,《པེ་》《སྣར་》,བསྟན།,
,,200,3,《པེ་》《སྣར་》,pཔ།,
,,201,4,《པེ་》《སྣར་》,འགྱུར།,
,,202,5,《པེ་》《སྣར་》,pརྣམས་ལ།,
,,203,6,《པེ་》《སྣར་》,mབཞེས།,
,,204,7,《པེ་》《སྣར་》,mཡང་དག་པར།,
,676,205,1,《པེ་》《སྣར་》,mཔ།,
,,206,2,《པེ་》《སྣར་》,བསྒྲུབ་པ།,
,,207,3,《པེ་》《སྣར་》,mརྣམས།,
,,208,4,《པེ་》《སྣར་》,བསྒྲུབ་པ།,
,,209,5,《པེ་》《སྣར་》,mབ།,
,,210,6,《པེ་》《སྣར་》,དཔས།,
,,211,7,《པེ་》《སྣར་》,གིས།,
,,212,8,《པེ་》《སྣར་》,གིས།,
,,213,9,《པེ་》《སྣར་》,mདུ།,
,677,214,1,《པེ་》《སྣར་》,mཟག་པ།,
,,215,2,《པེ་》《སྣར་》,དཔས།,
,,216,3,《པེ་》《སྣར་》,mཔའི།,
,,217,4,《པེ་》《སྣར་》,འགྱུར་ཏེ།,
,,218,5,《པེ་》《སྣར་》,mནི།,
,,219,6,《པེ་》《སྣར་》,གིས།,
,,220,7,《པེ་》《སྣར་》,འཇུག,
,,221,8,《པེ་》《སྣར་》,བ་བསྟན་ཏེ།,
,,222,9,《པེ་》《སྣར་》,དཔས།,
,678,223,1,《པེ་》《སྣར་》,དོ། །,
,,224,2,《པེ་》《སྣར་》,དེ་ལ།,
,,225,3,《པེ་》《སྣར་》,mདུ།,
,,226,4,《པེ་》,པའི།,《སྣར་》,པ།
,,227,5,《པེ་》《སྣར་》,mལ།,
,,228,6,《པེ་》《སྣར་》,སྤངས་པའི།,
,679,229,1,《སྣར་》,གིས་ས།,
,,230,2,《པེ་》《སྣར་》,mསྔོན་གྱི།,
,680,231,1,《པེ་》《སྣར་》,པ།,
,,232,2,《པེ་》《སྣར་》,pཔ།,
,,233,3,《པེ་》《སྣར་》,དཀའ།,
,,234,4,《པེ་》《སྣར་》,mདག,
,,235,5,《པེ་》《སྣར་》,pཐམས་ཅད།,
,,236,6,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,237,7,《པེ་》《སྣར་》,ཐོབ།,
,681,238,1,《པེ་》《སྣར་》,mསྐྱེ་བ།,
,,239,2,《པེ་》《སྣར་》,འདི།,
,,240,3,《པེ་》《སྣར་》,mསུམ།,
,682,241,1,《པེ་》《སྣར་》,mབ།,
,,242,2,《པེ་》《སྣར་》,དབྱེ་བ།,
,,243,3,《པེ་》《སྣར་》,mཏུ།,
,,244,4,《པེ་》《སྣར་》,pཀུན་ཏུ།,
