མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་གྲངས།,མཆན།
,,174,4,《པེ་》《སྣར་》,ན།
,,175,5,《སྣར་》,པའི།
,,176,6,《པེ་》《སྣར་》,པོས།
,,177,7,《པེ་》《སྣར་》,གསུངས།,
,,178,8,《པེ་》《སྣར་》,ལྟ།,
,1455,179,1,《པེ་》《སྣར་》,གྱི།,
,,180,2,《པེ་》《སྣར་》,pཔ།,
,,181,3,《པེ་》《སྣར་》,ལྟ།,
,,182,4,《པེ་》《སྣར་》,ལམ།,
,,183,5,《པེ་》《སྣར་》,ལྟ།,
,,184,6,《པེ་》《སྣར་》,mཔ།,《ཅོ་》,པར།
,,185,7,《པེ་》《སྣར་》,དབྱེང་།,
,,186,8,《པེ་》《སྣར་》,ལྟ།,
,1456,187,1,《པེ་》《སྣར་》,ཁམས།,
,,188,2,《པེ་》《སྣར་》,ལ།,
,,189,3,《པེ་》《སྣར་》,ཡིད།,
,,190,4,《པེ་》《སྣར་》,པ།,
,,191,5,《པེ་》《སྣར་》,འདིར།,
,,192,6,《སྣར་》,གྱིས།,
,,193,7,《པེ་》《སྣར་》,ཀྱིས།,
,,194,8,《པེ་》《སྣར་》,པ།,
,,195,9,《པེ་》,སྐྱེ་འགྱུར་བ།,《སྣར་》,སྐྱེད་གྱུར་པ།
,,196,10,《པེ་》《སྣར་》,དང་།,
,,197,11,《པེ་》《སྣར་》,ཀྱི།,
,,198,12,《པེ་》《སྣར་》,མོའི།,
,,199,13,《པེ་》《སྣར་》,མོའི།,
,1457,200,1,《པེ་》《སྣར་》,པ་ལ།,
,,201,2,《པེ་》《སྣར་》,གིས།,
,,202,3,《པེ་》《སྣར་》,pགཞན།,
,,203,4,《པེ་》《སྣར་》,mདུ།,
,,204,5,《པེ་》《སྣར་》,ཀྱིས།,
,,205,6,《པེ་》《སྣར་》,གིས།,
,,206,7,《པེ་》《སྣར་》,བསྒྲིབ།,
,,207,8,《པེ་》《སྣར་》,གིས།,
,,208,9,《པེ་》《སྣར་》,mཀྱང་།,
,,209,10,《པེ་》《སྣར་》,mཁྲིག
,,210,11,《པེ་》《སྣར་》,mཀྱི།
,1458,211,1,《པེ་》《སྣར་》,པའི།
,,212,2,《པེ་》《སྣར་》,ལྟ།
,,213,3,《པེ་》《སྣར་》,ཀྱི།
,,214,4,《པེ་》《སྣར་》,བྱའོ།
,,215,5,《པེ་》《སྣར་》,mགང་དང་།
,,216,6,《པེ་》《སྣར་》,པ།
,,217,7,《པེ་》《སྣར་》,གིས།
,,218,8,《པེ་》《སྣར་》,ལྟ།
,,219,9,《པེ་》《སྣར་》,པ།
,,220,10,《སྣར་》,mལ།
,1459,221,1,《པེ་》,pདེ།
,,222,2,《པེ་》《སྣར་》,བྱ་བའོ།
,,223,3,《པེ་》《སྣར་》,ཀྱིས།
,,224,4,《པེ་》《སྣར་》,ཀྱིས།
,,225,5,《པེ་》《སྣར་》,mབྲག་གིས་བྱེ།
,,226,6,《པེ་》《སྣར་》,བ།
,,227,7,《པེ་》《སྣར་》,བཅུ།
,,228,8,《པེ་》《སྣར་》,བགྱིས།
,1460,229,1,《པེ་》《སྣར་》,གི།
,,230,2,《པེ་》《སྣར་》,གྱི།
,,231,3,《པེ་》《སྣར་》,བསྒྲུབས།
,,232,4,《པེ་》《སྣར་》,བྱ་སྟེ།
,,233,5,《པེ་》《སྣར་》,pབ།
,,234,6,《པེ་》《སྣར་》,བ།
,1461,235,1,《པེ་》《སྣར་》,mདུ།
,,236,2,《པེ་》《སྣར་》,mཁྱད་པར་དུ།
,,237,3,《པེ་》《སྣར་》,པས།
,,238,4,《པེ་》《སྣར་》,པའོ།
,,239,5,《པེ་》《སྣར་》,པའོ།
,,240,6,《པེ་》《སྣར་》,བསྟམ།
,,241,7,《པེ་》《སྣར་》,པ།
,,242,8,《སྣར་》,ཀྱིས།
,,243,9,《པེ་》《སྣར་》,mཅིག་ཅར་དུ།
,,244,10,《སྣར་》,པ།
,,245,11,《པེ་》《སྣར་》,ཏེ།
,,246,12,《པེ་》《སྣར་》,ལ་སོགས།
,,247,13,《པེ་》《སྣར་》,པ།
,1462,248,1,《པེ་》《སྣར་》,གྱི།
,,249,2,《པེ་》《སྣར་》,དེ།
,,250,3,《སྣར་》,mཔར།
,,251,4,《པེ་》《སྣར་》,སོའི།
,,252,5,《པེ་》,mབར།
,,253,6,《པེ་》,ནི།
,,254,7,《པེ་》《སྣར་》,བར།
,,255,8,《པེ་》《སྣར་》,ལས།
,,256,9,《པེ་》《སྣར་》,གྱིས།
,1463,257,1,《པེ་》《སྣར་》,པ།
,,258,2,《པེ་》《སྣར་》,དང་ཡང་།
,,259,3,《པེ་》《སྣར་》,བར།
,,260,4,《པེ་》《སྣར་》,mཏུ།
,,261,5,《པེ་》《སྣར་》,བར།
,,262,6,《པེ་》《སྣར་》,པས།
,,263,7,《པེ་》《སྣར་》,འགྱུར།
,,264,8,《པེ་》《སྣར་》,mདུ།
,,265,9,《པེ་》《སྣར་》,འདོན།
,,266,10,《པེ་》《སྣར་》,ནས།
,,267,11,《པེ་》《སྣར་》,ཤེས།
,,268,12,《པེ་》《སྣར་》,pནི།
,,269,13,《པེ་》,pངེ་།
,1464,270,1,《པེ་》《སྣར་》,pདང་།
,,271,2,《པེ་》《སྣར་》,པའི།
,,272,3,《པེ་》《སྣར་》,mཀྱི།
,,273,4,《པེ་》《སྣར་》,པ་ཡིད།
,,274,5,《པེ་》《སྣར་》,ཕྱེད་པའི།
,,275,6,《པེ་》《སྣར་》,mདུ།
,,276,7,《པེ་》《སྣར་》,པ་ཡིད།
,,277,8,《པེ་》《སྣར་》,བསྡམ།
,,278,9,《པེ་》《སྣར་》,mམ་ལ།
,,279,10,《པེ་》《སྣར་》,མྱོང་།
,,280,11,《པེ་》《སྣར་》,སྐྱེད།
,1465,281,1,《པེ་》《སྣར་》,pཀྱི།
,,282,2,《པེ་》《སྣར་》,mནང་།
,,283,3,《པེ་》《སྣར་》,རྩ།
,,284,4,《པེ་》《སྣར་》,བསད།
,,285,5,《པེ་》《སྣར་》,ཕན།
,,286,6,《པེ་》《སྣར་》,ལས།
,,287,7,《པེ་》《སྣར་》,འགྱུར།
,,288,8,《པེ་》《སྣར་》,སྤོང་།
,1466,289,1,《པེ་》《སྣར་》,mཔ་ཐོབ།
,,290,2,《ཅོ་》,དག
,,291,3,《པེ་》《སྣར་》,mདུ།
,,292,4,《པེ་》《སྣར་》,པར།
,,293,5,《པེ་》《སྣར་》,འཕྲོག
,,294,6,《པེ་》《སྣར་》,mནི།
,,295,7,《པེ་》《སྣར་》,སྨྲ་བའོ།
,,296,8,《པེ་》《སྣར་》,ཁྱལ།
,,297,9,《པེ་》《སྣར་》,མཐུག
,,298,10,《པེ་》《སྣར་》,པའི།
,1467,299,1,《པེ་》《སྣར་》,གྲོལ།
,,300,2,《པེ་》《སྣར་》,mདེ་ཡང་སྐྱེས་པ།
,,301,3,《པེ་》《སྣར་》,འགག
,,302,4,《པེ་》《སྣར་》,pབ།
,,303,5,《པེ་》《སྣར་》,པ་ལས།
,,304,6,《པེ་》《སྣར་》,འགྱུར།
,,305,7,《པེ་》《སྣར་》,དཀོད།
,1468,306,1,《པེ་》《སྣར་》,mཀྱང་།
,,307,2,《པེ་》《སྣར་》,པ།
,,308,3,《པེ་》《སྣར་》,ཡང་།
,,309,4,《པེ་》《སྣར་》,pདེ།
,,310,5,《པེ་》《སྣར་》,གི།
,,311,6,《པེ་》《སྣར་》,ཀྱི་ཐམས་ཅད་དུ་རྩ།
,,312,7,《པེ་》《སྣར་》,གང་།
,,313,8,《པེ་》《སྣར་》,mཟད།
,,314,9,《པེ་》《སྣར་》,འཕངས།
,,315,10,《པེ་》《སྣར་》,mནི།
,,316,11,《པེ་》《སྣར་》,ཀྱིས།
