མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,
,,41,5,《པེ་》《སྣར་》,ན།,
,,42,6,《པེ་》《སྣར་》,སྦུ།,
,,43,7,《པེ་》《སྣར་》,རྩེ།,
,,44,8,《པེ་》《སྣར་》,བཅུ།,
,,45,9,《པེ་》《སྣར་》,འུན།,
,,46,10,《པེ་》《སྣར་》,ན།,
,,47,11,《པེ་》《སྣར་》,pཀླུ་ཡི་ཀླད་ནད་སོགས་གྱུར་ཅིག།,
,,48,12,《པེ་》《སྣར་》,ཀློ།,
,,49,13,《པེ་》《སྣར་》,ན་ག་སྦུས།,
,,50,13,《པེ་》《སྣར་》,སྦུ།,
,,51,14,《པེ་》《སྣར་》,སྦུ།,
,,52,15,《པེ་》《སྣར་》,རྩེ།,
,,53,16,《པེ་》《སྣར་》,སྐྲངས།,
,,54,17,《པེ་》《སྣར་》,ཀཎྚ།,
,220,55,1,《པེ་》《སྣར་》,བཅུ།,
,,56,2,《པེ་》《སྣར་》,སྐྲག,
,,57,3,《པེ་》《སྣར་》,དབུལ།,
,,58,4,《པེ་》《སྣར་》,ཧཱུཾ་ན།,
,,59,5,《པེ་》《སྣར་》,ན།,
,,60,6,《པེ་》《སྣར་》,ཕྱུངས།,
,,61,7,《པེ་》《སྣར་》,ཕྱུངས།,
,,62,8,《པེ་》《སྣར་》,ཕྱུངས།,
,,63,9,《པེ་》《སྣར་》,བྱུང་།,
,221,64,1,《པེ་》《སྣར་》,གཞུག་ཏུ་སྨག,
,,65,2,《པེ་》《སྣར་》,བཏང་།,
,,66,3,《པེ་》《སྣར་》,བཏང་།,
,,67,4,《པེ་》《སྣར་》,བཟློས།,
,,68,5,《པེ་》《སྣར་》,mགོ།,
,,69,6,《པེ་》《སྣར་》,རྗེས།,
,,70,7,《པེ་》《སྣར་》,mཔར།,
,,71,8,《པེ་》《སྣར་》,པ།,
,,72,9,《པེ་》《སྣར་》,བསྲེག,
,222,73,1,《པེ་》《སྣར་》,བཞུག,
,,74,2,《པེ་》,རྡོབ།,《སྣར་》,རྡོལ།
,,75,3,《པེ་》《སྣར་》,རྩི།,
,,76,4,《པེ་》《སྣར་》,སྔགས།,
,,77,5,《པེ་》《སྣར་》,སྔགས།,
,,78,6,《པེ་》《སྣར་》,སྔགས།,
,,79,7,《པེ་》《སྣར་》,mལ།,
,,80,8,《པེ་》《སྣར་》,སྔགས།,
,,81,9,《པེ་》《སྣར་》,གཏོང་བཏང་། སྔགས་བཟློས།,
,,82,10,《པེ་》《སྣར་》,ལ།,
,,83,11,《པེ་》《སྣར་》,པ།,
,,84,12,《པེ་》《སྣར་》,བཅད།,
,223,85,1,《པེ་》《སྣར་》,གཙུབ་རྣམས་ཚར་གཅད།,
,,86,2,《པེ་》《སྣར་》,བསྲེག,
,,87,3,《པེ་》《སྣར་》,བསྐྲག,
,,88,4,《པེ་》《སྣར་》,རྗེས།,
,,89,5,《པེ་》《སྣར་》,pཞེས།,
,,90,6,《པེ་》《སྣར་》,བསྲུང་།,
,,91,7,《པེ་》《སྣར་》,ན།,
,,92,8,《པེ་》《སྣར་》,ན།,
,,93,9,《པེ་》《སྣར་》,བསྲེག,
,,94,10,《པེ་》《སྣར་》,pཔ།,
,,95,11,《པེ་》《སྣར་》,པའི་ཀླུ་གདུག,
