མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,149,2,《པེ་》,གིས་གསོལ་པ་དེ།,《སྣར་》,གི་གསོལ་པ་དེ།
,,150,3,《པེ་》《སྣར་》,འགྲེལ།,
,,151,4,《པེ་》《སྣར་》,པའི།,
,,152,5,《པེ་》,དཀྲི།,
,,153,6,《སྣར་》,རྣ།,
,,154,7,《པེ་》《སྣར་》,གདགས།,
,,155,8,《པེ་》《སྣར་》,pལ།,
,490,156,1,《པེ་》《སྣར་》,སྐྱེད།,
,,157,2,《པེ་》《སྣར་》,བསྟན།,
,,158,3,《པེ་》《སྣར་》,ཀྱི།,
,,159,4,《པེ་》《སྣར་》,ཟིན་གྱིས།,
,,160,5,《པེ་》,གླེང་བ་ཙམ་གྱིས།,《སྣར་》,གླེང་བ་ཙམ་གྱི།
,,161,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,,162,7,《པེ་》《སྣར་》,པོའི་རིམ།,《ཅོ་》,པོ་རིགས།,,,,,
,,163,8,《པེ་》《སྣར་》,གཞག,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་བཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་གཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེདད།)
,,164,9,《པེ་》《སྣར་》,དུ་སྒྲུབས།,,,,,,
,,165,10,《པེ་》《སྣར་》,རྟོག,,,,,,
,,166,11,《སྣར་》,དགོས་པོས།,,,,,,
,,167,12,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,168,13,《ཅོ་》,pདེའི།,,,,,,
,491,169,1,《པེ་》《སྣར་》,ལམ།,,,,,,
,,170,2,《སྣར་》,བྱལ།,,,,,,
,,171,3,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,172,4,《པེ་》,མཐོན།,,,,,,
,,173,5,《པེ་》《སྣར་》,ས།,,,,,,
,,174,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,175,7,《པེ་》,དོག,,,,,,
,,176,8,《པེ་》《སྣར་》,ཚེའི།,,,,,,
,,177,9,《པེ་》《སྣར་》,ཀྱི།,
,,178,10,《པེ་》《སྣར་》,pགྲངས།,
,,179,11,《པེ་》《སྣར་》,སྐྱེད།,
,,180,12,《པེ་》《སྣར་》,mལ།,
,492,181,1,《པེ་》《སྣར་》,བར།,
,,182,2,《པེ་》《སྣར་》,སྨྲས་པ།,
,,183,3,《པེ་》《སྣར་》,རྩེ།,
,,184,4,《པེ་》《སྣར་》,མངོན།,
,,185,5,《པེ་》《སྣར་》,འཚོལ།,
,,186,6,《པེ་》《སྣར་》,མི་འཕང་བས།,
,,187,7,《པེ་》《སྣར་》,དུ།,
,,188,8,《ཅོ་》,pན།,
,,189,9,《སྣར་》,གཏན།,
,493,190,1,《པེ་》《སྣར་》,དེ་ཅིའི།,
,,191,2,《པེ་》《སྣར་》,དགོས།,
,,192,3,《པེ་》,ཚིགས།,
,,193,4,《པེ་》《སྣར་》,pང་།,
,,194,5,《པེ་》《སྣར་》,ཞིག,
,,195,6,《སྣར་》,འཆང་།,
,,196,7,《པེ་》《སྣར་》,བར།,
,,197,8,《པེ་》《སྣར་》,དྲིས།,
,,198,9,《པེ་》《སྣར་》,དགོས།,
,,199,10,《པེ་》《སྣར་》,mདད་པ།,
,,200,11,《པེ་》《སྣར་》,རྟོག,
,494,201,1,《པེ་》《སྣར་》,སྒོ།,
,,202,2,《པེ་》《སྣར་》,མཉམ།,
,,203,3,《པེ་》《སྣར་》,དེ་བཟློས།,
,,204,4,《པེ་》《སྣར་》,pལ།,
,,205,5,《པེ་》《སྣར་》,སྡུད།,
,,206,6,《པེ་》《སྣར་》,དཔའ།,
,,207,7,《པེ་》《སྣར་》,mཕྱིར།,
,,208,8,《པེ་》,སྨོས་ཏེ།དགའ་བོ།,《སྣར་》,སྨོས་ཏེ། དགའོ།
,,209,9,《པེ་》《སྣར་》,pགྱི།,
,,210,10,《སྣར་》,དགའོ།,
,,211,11,《སྣར་》,དགའོས།,
,,212,12,《པེ་》《སྣར་》,པ་མཉམ།,
,,213,13,《སྣར་》,དགའ་འོས།,
,,214,14,《པེ་》《སྣར་》,ལས།,
,495,215,1,《པེ་》《སྣར་》,གྱི།,
,,216,2,《པེ་》,ཏེ་ལྷས་བྱིན།,《སྣར་》,ཏེ་ལྷས་སྦྱིན།
,,217,3,《པེ་》,བདགས།,
,,218,4,《པེ་》《སྣར་》,དགའོས།,
,,219,5,《སྣར་》,དགའོས།,
,,220,6,《པེ་》《སྣར་》,ཀྱིས།,
,,221,7,《པེ་》《སྣར་》,དབང་།,
,,222,8,《པེ་》《སྣར་》,pདུས།,
,,223,9,《པེ་》《སྣར་》,མཉན།,
,,224,10,《སྣར་》,གྱིས།,
,,225,11,《པེ་》《སྣར་》,ད།,
,,226,12,《པེ་》,ཀྱིས།,
,496,227,1,《སྣར་》,ཀྱིས།,
,,228,2,《པེ་》《སྣར་》,ཞེས་བྱ་བའོ།,
,,229,3,《པེ་》《སྣར་》,pཕྱུག,
,,230,4,《སྣར་》,གཞེངས།,
,,231,5,《པེ་》《སྣར་》,པ།,
,,232,6,《པེ་》《སྣར་》,པ་དང་།,
,,233,7,《སྣར་》,ནས།,
,,234,8,《པེ་》《སྣར་》,pའདྲེ།,
,,235,9,《པེ་》《སྣར་》,སྦྱུག,
,,236,10,《པེ་》《སྣར་》,གྱི་མི་རྩེ།,
,,237,11,《པེ་》《སྣར་》,ཁུང་།,
,497,238,1,《སྣར་》,ལ།,
