མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,920,144,1,《པེ་》《སྣར་》,དེའི།,,,,,,
,,145,2,《པེ་》《སྣར་》,ཡིན།,,,,,,
,921,146,1,《ཅོ་》,མ།,,,,,,
,,147,2,《པེ་》《སྣར་》,ལན།,,,,,,
,,148,3,《པེ་》《སྣར་》,pཀྱིས།,,,,,,
,,149,4,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,150,5,《པེ་》《སྣར་》,དོགས།,,,,,,
,,151,6,《པེ་》《སྣར་》,།། །།,,,,,,
,,152,7,《པེ་》《སྣར་》,pབམ་པོ་གཉིས་པ།,,,,,,
,922,153,1,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,154,2,《པེ་》《སྣར་》,རྟག,,,,,,
,,155,3,《པེ་》,དེའི་ས།,,,,,,
,,156,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,157,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,158,6,《པེ་》《སྣར་》,pཡོད་ན།,,,,,,
,,159,7,《པེ་》《སྣར་》,པ།,,,,,,
,,160,8,《པེ་》《སྣར་》,ན།,,,,,,
,,161,9,《པེ་》,mཔ།,,,,,,
,923,162,1,《པེ་》《སྣར་》,mན།,,,,,,
,,163,2,《པེ་》《སྣར་》,mལྟ།,,,,,,
,,164,3,《པེ་》《སྣར་》,mན།,,,,,,
,,165,4,《པེ་》《སྣར་》,འདི།,,,,,,
,,166,5,《པེ་》《སྣར་》,བ།,,,,,,
,,167,6,《སྣར་》,mན།,,,,,,
,,168,7,《པེ་》,གྲུབ།,,,,,,
,924,169,1,《པེ་》《སྣར་》《ཅོ་》,ན།,,,,,,
,,170,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,171,3,《པེ་》《སྣར་》,བཟློག,,,,,,
,,172,4,《པེ་》《སྣར་》,འགོག,,,,,,
,,173,5,《པེ་》《སྣར་》,ཁྱབ།,,,,,,
,,174,6,《པེ་》《སྣར་》,མ།,,,,,,
,,175,7,《པེ་》《སྣར་》,བྱེད།,,,,,,
,925,176,1,《པེ་》,ནི།,,,,,,
,,177,2,《པེ་》,mགོ།,,,,,,
,,178,3,《པེ་》《སྣར་》,ནི།,,,,,,
,,179,4,《པེ་》《སྣར་》,པར།,,,,,,
,,180,5,《པེ་》《སྣར་》,pམ།,,,,,,
,,181,6,《པེ་》,རྟགས།,,,,,,
,,182,7,《པེ་》《སྣར་》,ཕྱིར།,,,,,,
,,183,8,《པེ་》《སྣར་》,དེ་ཁོ་ནས།,,,,,,
,,184,9,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,185,10,《པེ་》《སྣར་》,pབ།,,,,,,
,,186,11,《པེ་》《སྣར་》,ཞན།,,,,,,
,,187,12,《པེ་》《སྣར་》,mབསླུས་པས།,,,,,,
,926,188,1,《པེ་》,mམཐོང་བ་རྒྱུ།,,,,,,
,,189,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,190,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,191,4,《པེ་》《སྣར་》,མིན།,,,,,,
,,192,5,《པེ་》《སྣར་》,དེའི།,,,,,,
,,193,6,《པེ་》《སྣར་》,མེ་ཡི།,,,,,,
,,194,7,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,195,8,《པེ་》《སྣར་》,pསུ།,,,,,,
,927,196,1,《པེ་》《སྣར་》,དོ།།,,,,,,
,,197,2,《སྣར་》,གི།,,,,,,
,,198,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,,199,4,《པེ་》《སྣར་》,བ།,,,,,,
,,200,5,《པེ་》《སྣར་》,ལས་འབྱུང་།,,,,,,
,,201,6,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,928,202,1,《པེ་》《སྣར་》,mའམ།,,,,,,
,,203,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,204,3,《པེ་》《སྣར་》,mདོན།,,,,,,
,929,205,1,《པེ་》《སྣར་》,མེ།,,,,,,
,,206,2,《སྣར་》,མེད།,,,,,,
,,207,3,《པེ་》《སྣར་》,mབཞིན།,,,,,,
,,208,4,《པེ་》《སྣར་》,དག,,,,,,
,,209,5,《པེ་》,བརྟེན།,,,,,,
,,210,6,《པེ་》《སྣར་》,སྐྱེས་པ།,,,,,,
,,211,7,《པེ་》《སྣར་》,mན།,,,,,,
,,212,8,《པེ་》,པར།,,,,,,
,,213,9,《པེ་》《སྣར་》,བུ།,,,,,,
,930,214,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,215,2,《པེ་》《སྣར་》,།།,,,,,,
,,216,3,《པེ་》《སྣར་》,mབམ་པོ་གཉིས་པ།,,,,,,
,,217,4,《པེ་》《སྣར་》,སྐྱེས་པའི།,,,,,,
,,218,5,《པེ་》《སྣར་》,mད།,,,,,,
,,219,6,《པེ་》《སྣར་》,mནོ།,,,,,,
,,220,7,《པེ་》《སྣར་》,ན།,,,,,,
,,221,8,《པེ་》《སྣར་》,mརོ།,,,,,,
,,222,9,《པེ་》《སྣར་》,བཅའ་བའི།,,,,,,
,,223,10,《པེ་》,དེ།;《སྣར་》,དེས།,,,,,
,,224,11,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,931,225,1,《པེ་》《སྣར་》,mདུ།,,,,,,
,,226,2,《པེ་》,ནི།,,,,,,
,,227,3,《པེ་》《སྣར་》,ག,,,,,,
,,228,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,229,5,《པེ་》《སྣར་》,རྫས།,,,,,,
,,230,6,《པེ་》《སྣར་》,mདག,,,,,,
,,231,7,《པེ་》《སྣར་》,mབློ་ལ།,,,,,,
,932,232,1,《པེ་》《སྣར་》,mམི།,,,,,,
,,233,2,《པེ་》《སྣར་》,ཡོད་པས།,,,,,,
,,234,3,《སྣར་》,བསྙན།,,,,,,
,,235,4,《ཅོ་》,pན།,,,,,,
,,236,5,《པེ་》《སྣར་》,སྤངས་པར།,,,,,,
,,237,6,《པེ་》《སྣར་》,རྩལ།,,,,,,
,,238,7,《པེ་》《སྣར་》,སྤངས་པའི།,,,,,,
,,239,8,《པེ་》《སྣར་》,བཅའ་བའི།,,,,,,
,,240,9,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,241,10,《པེ་》《སྣར་》,mསྒྲ་གཞན།,,,,,,
,933,242,1,《པེ་》《སྣར་》,pལ།,,,,,,
,,243,2,《པེ་》《སྣར་》,གནས་སུ་གྱུར་པ་འཁྲུལ།,,,,,,
,,244,3,《པེ་》《སྣར་》,mགཞན།,,,,,,
,,245,4,《པེ་》《སྣར་》,བོ།,,,,,,
,,246,5,《པེ་》《སྣར་》,བར།,,,,,,
,934,247,1,《པེ་》《སྣར་》,pཔར་བྱེད།,,,,,,
,,248,2,《པེ་》《སྣར་》,འགྱུར་རོ།,,,,,,
,,249,3,《པེ་》,ནོ།།,,,,,,
,,250,4,《པེ་》,བའི།,,,,,,
,,251,5,《པེ་》《སྣར་》,ཀུན།,,,,,,
,,252,6,《པེ་》,འགའ།,,,,,,
,,253,7,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,254,8,《སྣར་》,ཏེ།,,,,,,
,,255,9,《པེ་》《སྣར་》,ཞིག,,,,,,
,,256,10,《པེ་》《སྣར་》,mརོ།,,,,,,
,,257,11,《པེ་》《སྣར་》,pམ།,,,,,,
,935,258,1,《ཅོ་》,པ།,,,,,,
,,259,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,260,3,《པེ་》,ཤེས།,,,,,,
,,261,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,262,5,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,263,6,《པེ་》《སྣར་》,དེའི།,,,,,,
,,264,7,《པེ་》,ཡིན།,,,,,,
,,265,8,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,266,9,《པེ་》,བརྟག་པའི།;《སྣར་》,བརྟག་པའོ།,,,,,
,,267,10,《པེ་》,ཡིན།,,,,,,
,,268,11,《པེ་》《སྣར་》,བོར།,,,,,,
,936,269,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,270,2,《པེ་》《སྣར་》,mདེ།,,,,,,
