མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,237,2,《པེ་》《སྣར་》,བ།
,,238,3,《པེ་》《སྣར་》,གིས།
,,239,4,《པེ་》《སྣར་》,གལ་ཏེ་འབྲས་རྒྱུ།
,,240,5,《པེ་》《སྣར་》,རྒྱུ།
,,241,6,《པེ་》《སྣར་》,གྱུར།
,,242,7,《པེ་》《སྣར་》,འགགས།
,,243,8,《པེ་》《སྣར་》,དང་།
,,244,9,《པེ་》《སྣར་》,འགགས།
,,245,10,《པེ་》《སྣར་》,མི་རིགས།
,,246,11,《པེ་》《སྣར་》,བའམ།
,,247,12,《པེ་》《སྣར་》,རྒྱུ།
,,248,13,《པེ་》《སྣར་》,mཔ།
,,249,14,《པེ་》《སྣར་》,དེར་དེ།
,32,250,1,《པེ་》《སྣར་》,དག
,,251,2,《པེ་》《སྣར་》,རྟོགས།
,,252,3,《པེ་》《སྣར་》,པ།
,,253,4,《པེ་》《སྣར་》,བརྟེན།
,,254,5,《པེ་》《སྣར་》,པ།
,,255,6,《པེ་》《སྣར་》,པ།
,,256,7,《སྣར་》,བ།
,,257,8,《པེ་》《སྣར་》,ཡིས།
,,258,9,《པེ་》《སྣར་》,བླངས་པ།
,,259,10,《པེ་》《སྣར་》,པར།
,,260,11,《པེ་》《སྣར་》,ནི།
,,261,12,《པེ་》《སྣར་》,ནི།
,,262,13,《པེ་》《སྣར་》,གཟུང་།
,33,263,1,《པེ་》《སྣར་》,པར།
,,264,2,《པེ་》《སྣར་》,གང་།
,,265,3,《པེ་》《སྣར་》,དང་།
,,266,4,《པེ་》,དང་འགའ།,《སྣར་》,དང་འབའ།
,34,267,1,《པེ་》《སྣར་》,མ།
,,268,2,《པེ་》《སྣར་》,རྟེན།
,,269,3,《པེ་》《སྣར་》,མ།
,,270,4,《པེ་》《སྣར་》,འབྱུང་བར།
,,271,5,《པེ་》《སྣར་》,མ།
,,272,6,《པེ་》《སྣར་》,པའང་།
