མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,7,《པེ་》《སྣར་》,བཅད་པའོ། །ཨིཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,8,《པེ་》《སྣར་》,ཨིཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,9,《པེ་》《སྣར་》,ཨམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,10,《པེ་》《སྣར་》,ནི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,11,《པེ་》《སྣར་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,12,《པེ་》《སྣར་》,དབྱིའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,13,《པེ་》《སྣར་》,ཨེ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,14,《པེ་》《སྣར་》,pལ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68,15,《པེ་》《སྣར་》《ཅོ་》,ཨ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,16,《པེ་》《སྣར་》,ཨཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,17,《པེ་》《སྣར་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,18,《པེ་》《སྣར་》,ཨཱཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72,19,《པེ་》《སྣར་》,ཨཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,20,《པེ་》《སྣར་》,ཨཀྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,21,《པེ་》《སྣར་》,ཨཀྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
