མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,229,3,《སྣར་》,ཆོད།,,,,,
,,230,4,《པེ་》《སྣར་》,བླངས་པར།,,,,,
,,231,5,《པེ་》《སྣར་》,ནོ།།,,,,,
,888,232,1,《པེ་》《སྣར་》,mཔར།,,,,,
,,233,2,《པེ་》《སྣར་》,དཔེར།,,,,,
,,234,3,《པེ་》,ཅིག,,,,,
,,235,4,《པེ་》,ཡང་།;《སྣར་》,ཕན།,,,,
,,236,5,《པེ་》《སྣར་》,བཞག་པ་རིག,,,,,
,,237,6,《པེ་》《སྣར་》,mདག,,,,,
,,238,7,《པེ་》《སྣར་》,འཇོག,,,,,
,,239,8,《པེ་》《སྣར་》,pབ།,,,,,
,,240,9,《པེ་》《སྣར་》,pན།,,,,,
,,241,10,《སྣར་》,mརོ།,,,,,
,,242,11,《པེ་》《སྣར་》,དེ་གཞན།,,,,,
,,243,12,《པེ་》《སྣར་》,pམ།,,,,,
,,244,13,《པེ་》《སྣར་》,pམ།,,,,,
,889,245,1,《པེ་》《སྣར་》,ངན།,,,,,
,,246,2,《པེ་》《སྣར་》,པ།,,,,,
,,247,3,《པེ་》《སྣར་》,བསལ་བའི།,,,,,
,,248,4,《སྣར་》,གིས།,,,,,
,,249,5,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,250,6,《པེ་》《སྣར་》,པར།,,,,,
,,251,7,《པེ་》,བསྲུངས་པའི།,,,,,
,,252,8,《པེ་》《སྣར་》,བཅད།,,,,,
,890,253,1,《པེ་》《སྣར་》,pདུ།,,,,,
,,254,2,《པེ་》《སྣར་》,ཀྱི་བསྒྲུབ།,,,,,
,,255,3,《པེ་》《སྣར་》,སྨྲ་བ།,,,,,
,,256,4,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,257,5,《པེ་》,བཅད་པའི་ཚིག་དག;《སྣར་》,བཅའ་བའི་ཚིག་དག,,,,
,,258,6,《པེ་》,བཙམ།;《སྣར་》,བཙལ།,,,,
,,259,7,《པེ་》《སྣར་》,བརྗོད།,,,,,
,891,260,1,《པེ་》《སྣར་》,པར།,,,,,
,,261,2,《པེ་》《སྣར་》,ལྟར་སྣང་བ།,,,,,
,,262,3,《པེ་》《སྣར་》,pཉིད།,,,,,
,,263,4,《པེ་》《སྣར་》,རིག,,,,,
,,264,5,《པེ་》《སྣར་》,pལ།,,,,,
,892,265,1,《པེ་》《སྣར་》,བཅད།,,,,,
,,266,2,《པེ་》《སྣར་》,པ།,,,,,
,,267,3,《པེ་》《སྣར་》,ཟློག,,,,,
,,268,4,《པེ་》《སྣར་》,བའི་ཕྱིར།,,,,,
,,269,5,《པེ་》《སྣར་》,pབ།,,,,,
,,270,6,《པེ་》《སྣར་》,pལ།,,,,,
,,271,7,《པེ་》《སྣར་》,སུ།,,,,,
,,272,8,《པེ་》《སྣར་》,pམེད་པ།,,,,,
,,273,9,《པེ་》《སྣར་》,བུའོ།,,,,,
,893,274,1,《པེ་》《སྣར་》,ལ།,,,,,
,,275,2,《པེ་》《སྣར་》,བཅའ་བའི།,,,,,
,,276,3,《པེ་》《སྣར་》,pབ།,,,,,
,,277,4,《པེ་》《སྣར་》,pདུ།,,,,,
,,278,5,《པེ་》《སྣར་》,mདུ།,,,,,
,894,279,1,《པེ་》《སྣར་》,pདེ་བསྟན་པའི་ཕྱིར།,,,,,
,,280,2,《སྣར་》,pབ།,,,,,
,,281,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,282,4,《པེ་》《སྣར་》,pདམ་བཅས་པ།,,,,,
,,283,5,《པེ་》,བྱེད།;《སྣར་》,pསྒྲུབ་པར་བྱེད།,,,,
,895,284,1,《པེ་》《སྣར་》,mའདི།,,,,,
,,285,2,《པེ་》,ཤེས།,,,,,
,,286,3,《པེ་》《སྣར་》,pམེད་པ།,,,,,
,,287,4,《པེ་》,རྗོད་པར།;《སྣར་》,བརྗོད་པར།,,,,
,,288,5,《པེ་》《སྣར་》,pཡང་།,,,,,
,,289,6,《པེ་》《སྣར་》,གིས།,,,,,
,896,290,1,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,291,2,《པེ་》,བས།,,,,,
,,292,3,《པེ་》《སྣར་》,མར།,,,,,
,,293,4,《པེ་》,སྒྲུབ།;《སྣར་》,སྒྲུབས།,,,,
,,294,5,《པེ་》《སྣར་》,དེ།,,,,,
,,295,6,《པེ་》《སྣར་》,mརོ།,,,,,
,,296,7,《པེ་》《སྣར་》,བཅའ་བ།,,,,,
,897,297,1,《པེ་》《སྣར་》,ལས།,,,,,
,,298,2,《པེ་》《སྣར་》,pལན།,,,,,
,,299,3,《པེ་》,pསོགས་པ་རང་ལ་གྲུབ་པའི་སྒོ་ནས་མ་ངེས་པར་བསྟན་པའི་ཕྱིར་འགལ་བ་སྟེ། གཞན་གྱིས་ཕྱོགས་ལ་རང་ལ་གྲུབ་པའི་བ་ལང་ཉིད་ལས་སོགས་པས་འཁྲུལ་པར་བརྗོད་པ་གང་ཡིན་པ་དེ་ནི་ལན་འགལ་བ་ཡིན་པར་རིག་པར་བྱའོ། །རང་གི་ཕྱོགས་ལ་བལྟོས་པ་མེད་པ་ཡང་སྟེ།,,,,,
,,300,4,《པེ་》《སྣར་》,ཀྱི་ཆོས།,,,,,
,,301,5,《པེ་》《སྣར་》,བར་ཀག,,,,,
,,302,6,《པེ་》《སྣར་》,ན།,,,,,
,,303,7,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,,304,8,《པེ་》《སྣར་》,pཡང་།,,,,,
,,305,9,《པེ་》《སྣར་》,མི།,,,,,
,,306,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,898,307,1,《པེ་》《སྣར་》,བཟློགས།,,,,,
,,308,2,《པེ་》《སྣར་》,བཅས་པ།,,,,,
,,309,3,《སྣར་》,ཉིད།,,,,,
,,310,4,《པེ་》《སྣར་》,pབ།,,,,,
,,311,5,《པེ་》《སྣར་》,mདེ།,,,,,
,,312,6,《པེ་》《སྣར་》,pབ།,,,,,
,,313,7,《པེ་》《སྣར་》,mརོ།,,,,,
,899,314,1,《པེ་》《སྣར་》,ཏེ།,,,,,
,,315,2,《པེ་》《སྣར་》,pསྦྱོར་བ།,,,,,
,,316,3,《པེ་》《སྣར་》,བུའོ།།,,,,,
,,317,4,《པེ་》《སྣར་》,ཡི།,,,,,
,,318,5,《པེ་》《སྣར་》,mཔར།,,,,,
,,319,6,《པེ་》《སྣར་》,mནོ།,,,,,
,900,320,1,《པེ་》《སྣར་》,ཅིའི།,,,,,
,,321,2,《པེ་》《སྣར་》,mལ།,,,,,
,,322,3,《པེ་》《སྣར་》,པ།,,,,,
,,323,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,324,5,《པེ་》《སྣར་》,mདེ་ཡང་གཉིས།,,,,,
,901,325,1,《པེ་》《སྣར་》,པ།,,,,,
,,326,2,《པེ་》《སྣར་》,བརྟན།,,,,,
,,327,3,《པེ་》《སྣར་》,pཡོད་པ།,,,,,
,,328,4,《པེ་》《སྣར་》,mགྱི།,,,,,
,,329,5,《སྣར་》,mདམ།,,,,,
,,330,6,《པེ་》《སྣར་》,མ་གྲུབ།,,,,,
,,331,7,《པེ་》《སྣར་》,ལས།,,,,,
,,332,8,《པེ་》《སྣར་》,pགྱི།,,,,,
,,333,9,《པེ་》《སྣར་》,བཅའ་བ།,,,,,
,,334,10,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,335,11,《པེ་》《སྣར་》,mམ།,,,,,
,,336,12,《པེ་》《སྣར་》,བཅའ་བ།,,,,,
,,337,13,《པེ་》《སྣར་》,བའི།,,,,,
,,338,14,《པེ་》《སྣར་》《ཅོ་》,སྣང་།,,,,,
,,339,15,《པེ་》《སྣར་》,བཅའ་བ།,,,,,
,,340,16,《སྣར་》,རྟེན།,,,,,
,902,341,1,《པེ་》《སྣར་》,pདམ་བཅའ་བ་དང་འགལ་བ་ཞེས་བརྗོད་པ་དང་། གང་གི་ཚེ་དམ་བཅའ་བ་དང་གཏན་ཚིགས་ལ་འགལ་བ་དེའི་ཚེ།,,,,,
,,342,2,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,343,3,《པེ་》《སྣར་》,mཡིན་པ།,,,,,
,903,344,1,《པེ་》《སྣར་》,གཞད་རྒད།,,,,,
,,345,2,《པེ་》,བསྒྲུབ།,,,,,
,,346,3,《པེ་》《སྣར་》,པར།,,,,,
,,347,4,《སྣར་》,mཏེ།,,,,,
,,348,5,《པེ་》《སྣར་》,བའི།,,,,,
,,349,6,《པེ་》《སྣར་》,པར།,,,,,
,,350,7,《པེ་》《སྣར་》,གྲུབ།,,,,,
,,351,8,《པེ་》《སྣར་》,རིམ།,,,,,
,904,352,1,《པེ་》《སྣར་》,mལ།,,,,,
,,353,2,《པེ་》《སྣར་》,pདེའི།,,,,,
,,354,3,《པེ་》《སྣར་》,གྲུབ་པ་ཡིན།,,,,,
,,355,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,356,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,357,6,《པེ་》《སྣར་》,གི།,,,,,
,905,358,1,《པེ་》《སྣར་》,pགི།,,,,,
,,359,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,360,3,《པེ་》《སྣར་》,རྗོད།,,,,,
,,361,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,362,5,《པེ་》《སྣར་》,pཡང་།,,,,,
,,363,6,《པེ་》《སྣར་》,ན།,,,,,
,,364,7,《སྣར་》,mརོ།,,,,,
,,365,8,《པེ་》《སྣར་》,pའདོད་པར།,,,,,
,,366,9,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,367,10,《པེ་》,བསྒྲུབ།;《སྣར་》,སྒྲུབ།,,,,
,906,368,1,《པེ་》《སྣར་》,པར།,,,,,
,,369,2,《པེ་》《སྣར་》,pཡང་།,,,,,
,,370,3,《པེ་》《སྣར་》,བསྟན་པ།,,,,,
,,371,4,《པེ་》《སྣར་》,ལ་བརྩོན།,,,,,
,,372,5,《པེ་》《སྣར་》,བྱས་པ།,,,,,
,,373,6,《པེ་》《སྣར་》,བཅད།,,,,,
,,374,7,《པེ་》《སྣར་》,mམ།,,,,,
,,375,8,《པེ་》《སྣར་》,གཏང་།,,,,,
,,376,9,《པེ་》《སྣར་》,mད།,,,,,
,,377,10,《པེ་》《སྣར་》,བར།,,,,,
,,378,11,《པེ་》《སྣར་》,འགྱུར།,,,,,
,,379,12,《པེ་》《སྣར་》,བཅད།,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཅད་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཅད་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,907,380,1,《པེ་》《སྣར་》,mཔ།,,,,,
,,381,2,《པེ་》《སྣར་》,ལས།,,,,,
,,382,3,《པེ་》《སྣར་》,mདག་ལ།,,,,,
,,383,4,《པེ་》《སྣར་》,pརོ།།,,,,,
,,384,5,《སྣར་》,pབ།,,,,,
,,385,6,《པེ་》《སྣར་》,pཚད་མ།,,,,,
,,386,7,《པེ་》《སྣར་》,དང་།,,,,,
,,387,8,《པེ་》《སྣར་》,pགཞན།,,,,,
,,388,9,《པེ་》《སྣར་》,pགཏན་ཚིགས་གཞན་དུ་འགྱུར་རོ།།,,,,,
,,389,10,《པེ་》《སྣར་》,pམ།,,,,,
,908,390,1,《པེ་》《སྣར་》,།། །།,,,,,
,,391,2,《པེ་》《སྣར་》,པར།,,,,,
,,392,3,《པེ་》《སྣར་》,ཧི།,,,,,
,,393,4,《པེ་》《སྣར་》,བྱས་པའི།,,,,,
,,394,5,《པེ་》《སྣར་》,ཐཱ།,,,,,
