མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,90,3,《པེ་》《སྣར་》,དེའི།,,,,,,
,,91,4,《པེ་》《སྣར་》,ཅེས་གྲག,,,,,,
,,92,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,93,6,《པེ་》《སྣར་》,pཐམས་ཅད།,,,,,,
,,94,7,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,95,8,《པེ་》《སྣར་》,འདི།,,,,,,
,,96,9,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,97,10,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,98,11,《པེ་》《སྣར་》,ལས་རྟེན།,,,,,,
,,99,12,《པེ་》《སྣར་》,བྱ་བའི།,,,,,,
,458,100,1,《པེ་》《སྣར་》,བརྟག,,,,,,
,,101,2,《པེ་》《སྣར་》,mམི།,,,,,,
,,102,3,《པེ་》《སྣར་》,འདི་ཁ་དྲང་བར།,,,,,,
,,103,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,104,5,《པེ་》《སྣར་》,ཀོ།,,,,,,
,,105,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,106,7,《པེ་》《སྣར་》,ག,,,,,,
,,107,8,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,108,9,《པེ་》《སྣར་》,mཐ།,,,,,,
,,109,10,《པེ་》《སྣར་》,པ་སྣམ་བུའི།,,,,,,
,459,110,1,《པེ་》《སྣར་》,pདེ་རྐྱེན་མི་འཐད།,,,,,,
,,111,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,112,3,《པེ་》《སྣར་》,པ།,,,,,,
,,113,4,《པེ་》《སྣར་》,mསྟེ།,,,,,,
,,114,5,《པེ་》《སྣར་》,ན།,,,,,,
,,115,6,《པེ་》《སྣར་》,དེ།,,,,,,
,,116,7,《པེ་》《སྣར་》,རྐྱེན།,,,,,,
,,117,8,《པེ་》《སྣར་》,pན།,,,,,,
,,118,9,《པེ་》,སྔར།,,,,,,
,460,119,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,120,2,《པེ་》《སྣར་》,བ།,,,,,,
,,121,3,《པེ་》《སྣར་》,བློས།,,,,,,
,,122,4,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,123,5,《པེ་》《སྣར་》,pནི།,,,,,,
,461,124,1,《པེ་》《སྣར་》,ན།,,,,,,
,,125,2,《པེ་》《སྣར་》,pདེ།,,,,,,
,,126,3,《པེ་》,mམ།,,,,,,
,,127,4,《པེ་》《སྣར་》,pཀྱང་།,,,,,,
,,128,5,《པེ་》《སྣར་》,བལྟོས་པར་ལྟ།,,,,,,
,,129,6,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,462,130,1,《པེ་》《སྣར་》,འགགས།,,,,,,
,,131,2,《པེ་》《སྣར་》,འགགས།,,,,,,
,,132,3,《པེ་》《སྣར་》,འགགས།,,,,,,
,,133,4,《པེ་》《སྣར་》,འགགས།,,,,,,
,,134,5,《པེ་》《སྣར་》,གཉིས།,,,,,,
,,135,6,《པེ་》《སྣར་》,mའགྱུར།,,,,,,
,,136,7,《པེ་》《སྣར་》,སྐྱེས་ཤིང་།,,,,,,
,,137,8,《པེ་》《སྣར་》,སྐྱོན་ཏུ།,,,,,,
,,138,9,《པེ་》《སྣར་》,འགགས།,,,,,,
,463,139,1,《པེ་》《སྣར་》,དོ།,,,,,,
,,140,2,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,141,3,《པེ་》《སྣར་》,ད།,,,,,,
,,142,4,《སྣར་》,བུ།,,,,,,
