མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,
ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ། ,997,2,1,《པེ་》《སྣར་》,ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཕྱོགས་གླང་གིས་མཛད་པའོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,
,1017,115,1,《པེ་》,སུ།;《སྣར་》,ཅིག་པུ།,,,,,,,,,,,,,,,,,,,,,
,,116,2,《པེ་》《སྣར་》,pལྡན་པར།,,,,,,,,,,,,,,,,,,,,,,
,,117,3,《སྣར་》,སླང་།,,,,,,,,,,,,,,,,,,,,,,
,1018,118,1,《པེ་》《སྣར་》,mདེ།,,,,,,,,,,,,,,,,,,,,,,
,,119,2,《པེ་》《སྣར་》,གཏོགས།,,,,,,,,,,,,,,,,,,,,,,
,,120,3,《སྣར་》,རྟོགས།,,,,,,,,,,,,,,,,,,,,,,
,1019,121,1,《པེ་》《སྣར་》,རྟག,,,,,,,,,,,,,,,,,,,,,,
,,122,2,《པེ་》,ཤེས།,,,,,,,,,,,,,,,,,,,,,,
,,123,3,《པེ་》,མཉན་པར་བཞན།,,,,,,,,,,,,,,,,,,,,,,
,1020,124,1,《པེ་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,1021,125,1,《སྣར་》,ལས།,,,,,,,,,,,,,,,,,,,,,,
,,126,2,《པེ་》《སྣར་》,འགྱུར།,,,,,,,,,,,,,,,,,,,,,,
,,127,3,《སྣར་》,བྱ་བའོ།,,,,,,,,,,,,,,,,,,,,,,
,,128,4,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,
,,129,5,《པེ་》,བཅས།;《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,
,,130,6,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,
,,131,7,《སྣར་》,pཀྱི།,,,,,,,,,,,,,,,,,,,,,,
,,132,8,《པེ་》《སྣར་》,སྲེག,,,,,,,,,,,,,,,,,,,,,,
,,133,9,《པེ་》《སྣར་》,བྱེད།,,,,,,,,,,,,,,,,,,,,,,
,1022,134,1,《པེ་》《སྣར་》,བྱེད་པ།,,,,,,,,,,,,,,,,,,,,,,
