མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,199,3,《པེ་》,སྨྲ་བ།,
,,200,4,《སྣར་》,པའི།,
,,201,5,《པེ་》《སྣར་》,གཞོག་སློངས་དང་། འཐོབ།,
,,202,6,《སྣར་》,pབ།,
,,203,7,《པེ་》,mམི།,
,477,204,1,《སྣར་》,གསལ།,
,,205,2,《པེ་》《སྣར་》,རྩོམ།,
,,206,3,《པེ་》《སྣར་》,mལ།,
,,207,4,《པེ་》《སྣར་》,mརང་།,
,,208,5,《པེ་》《སྣར་》,པར།,
,,209,6,《པེ་》《སྣར་》,པུ།,
,,210,7,《པེ་》《སྣར་》,mལ།,
,478,211,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,212,2,《པེ་》《སྣར་》,སྨྲ།,
,,213,3,《པེ་》《སྣར་》,དཔའ།,
,,214,4,《པེ་》《སྣར་》,བརྟེན།,
,,215,5,《པེ་》《སྣར་》,བརྟེན།,
,,216,6,《པེ་》《སྣར་》,རྩོན་པ་ཡིན་ལ།,
,,217,7,《པེ་》《སྣར་》,གོམ།,
,,218,8,《སྣར་》,mཔར།,
,,219,9,《པེ་》《སྣར་》,པར།,
,,220,10,《པེ་》《སྣར་》,དཔའ།,
,,221,11,《པེ་》《སྣར་》,mགྱི།,
,479,222,1,《པེ་》《སྣར་》,གྱིས།,
,,223,2,《པེ་》《སྣར་》,སློངས།,
,,224,3,《པེ་》《སྣར་》,པ།,
,,225,4,《པེ་》《སྣར་》,གྱུར་པ།,
,,226,5,《པེ་》《སྣར་》,mཡིད།,
,,227,6,《པེ་》《སྣར་》,འགྱུར།,
,,228,7,《པེ་》《སྣར་》,རྡེག,
,,229,8,《པེ་》《སྣར་》,mམཚང་།,
,,230,9,《པེ་》《སྣར་》,འཇོག,
,,231,10,《པེ་》,གྱུར།,
,480,232,1,《པེ་》《སྣར་》,པ།,
,,233,2,《པེ་》《སྣར་》,ཉེས་པ་བྱུང་བ།,
,,234,3,《པེ་》《སྣར་》,mལ།,
,,235,4,《པེ་》《སྣར་》,མཐོ་འཚམས།,
,,236,5,《པེ་》《སྣར་》,mམི།,
