            མཚན་བྱང་།,         ཤོག་གྲངས།,1,              མཆན་གྲངས།,               པར་མ།,                                                                           མཆན།
,801,194,1,《པེ་》《སྣར་》,ཟློག,
,,195,2,《པེ་》《སྣར་》,ཟློག,
,,196,3,《པེ་》《སྣར་》,ཞི།,
,,197,4,《པེ་》《སྣར་》,ཉིད།,
,,198,5,《པེ་》《སྣར་》,ཀྱི།,
,,199,6,《པེ་》《སྣར་》,སླད་གྱུར།,
,,200,7,《པེ་》《སྣར་》,མ་ཡིན་པར།,
,,201,8,《པེ་》《སྣར་》,པར།,
,,202,9,《པེ་》《སྣར་》,པ།,
,,203,10,《པེ་》《སྣར་》,བསམ།,
,,204,11,《པེ་》《སྣར་》,ན།,
,,205,12,《པེ་》《སྣར་》,མྱ་ངན།,
,,206,13,《པེ་》《སྣར་》,mགྱི།,
,802,207,1,《པེ་》《སྣར་》,ཐོབ།,
,,208,2,《པེ་》《སྣར་》,སྦྱོང་།,
,,209,3,《པེ་》《སྣར་》,དུ།,,
,,210,4,《པེ་》《སྣར་》,པ།,,
,,211,5,《པེ་》《སྣར་》,རྟོགས།,,
,,212,6,《པེ་》,མི་མཐོང་།,《སྣར་》,མི་ཐོང་།,
,,213,7,《པེ་》《སྣར་》,དེའི།,,
,,214,8,《པེ་》《སྣར་》,གྱུར།,,
,803,215,1,《པེ་》,མེད།,,
,,216,2,《པེ་》《སྣར་》,ལྡོག,,
,,217,3,《པེ་》《སྣར་》,ག་ལ་རིགས། །རྒྱུ་ནི།,,
,,218,4,《པེ་》《སྣར་》,ཁང་།,,
,,219,5,《པེ་》《སྣར་》,གྱིར།,,
,,220,6,《པེ་》《སྣར་》,པ།,,
,,221,7,《པེ་》《སྣར་》,ཡི།,,
,,222,8,《པེ་》《སྣར་》,རྒྱུ་ཡོད་པ།,,
,,223,9,《པེ་》《ཅོ་》,གསུངས།,,
,804,224,1,《པེ་》《སྣར་》,དེ།,,
,,225,2,《པེ་》《སྣར་》,པ་བདག་ཅིག,
,,226,3,《པེ་》,mནོ།,
,,227,4,《པེ་》《སྣར་》,ནི།,
,,228,5,《པེ་》《སྣར་》,ན།,
,,229,6,《པེ་》《སྣར་》,བསྟེན།,
,,230,7,《པེ་》《སྣར་》,དག,
,,231,8,《པེ་》《སྣར་》,ལ།,
,805,232,1,《པེ་》《སྣར་》,ཏུ།,
,,233,2,《པེ་》《སྣར་》,བདག,
,,234,3,《པེ་》《སྣར་》,ཡི།,
