མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,154,7,《པེ་》《སྣར་》,ཕྱིས་པས།
,,155,8,《པེ་》《སྣར་》,བརྒྱན།
,,156,9,《པེ་》《སྣར་》,འབྲེལ།
,,157,10,《པེ་》《སྣར་》,ཀྱི།
,60,158,1,《པེ་》《སྣར་》,pགི།
,,159,2,《པེ་》《སྣར་》,མཱ།
,,160,3,《པེ་》《སྣར་》,སྒྲོལ།
,,161,4,《པེ་》《སྣར་》,mནི།
,,162,5,《པེ་》《སྣར་》,mདེ་ཡང་སྦོམ་ཕྲ་དང་ཡོན་པོ་དང་གཡོན་སྐོར་…...མཆོད་སྣམ་ནི་དམར་པོའོ།།
,61,163,1,《པེ་》《སྣར་》,mསྦྱོར་གྱི།
,,164,2,《པེ་》,གྲྀཧྞཱ་གྲྀཧྞཱ།,《སྣར་》,གྷྲྀཧྞ་གྷྲྀཧྞ།
,,165,3,《པེ་》《སྣར་》,གྷྲྀཧྣཱ་པ་ཡ་གྷྲྀཧྣཱ།
,,166,4,《པེ་》《སྣར་》,བན་བིདྱཱ་ར།
,,167,5,《པེ་》《སྣར་》,mགྱིས།
,,168,6,《པེ་》《སྣར་》,mདེ་ནས།
,,169,7,《པེ་》《སྣར་》,mཕྱག་རྒྱའམ།  ཕྱག་དང་ཞབས་ལ་སོགས་པ་སྐུའི།
,62,170,1,《པེ་》《སྣར་》,mསེམས་དཔའ།
,,171,2,《པེ་》《སྣར་》,གི།
,,172,3,《པེ་》《སྣར་》,དུ།
,,173,4,《པེ་》《སྣར་》,ཤུལ་ལོ།
,,174,5,《པེ་》《སྣར་》,ལོ་བསྒྱུར།
,,175,6,《པེ་》《སྣར་》,pབ།
,,176,7,《པེ་》《སྣར་》,དཔའ།
,,177,8,《པེ་》《སྣར་》,mལོ།
,63,178,1,《པེ་》《སྣར་》,དབུ་ལ།
,,179,2,《པེ་》《སྣར་》,pཔའི།
,,180,3,《པེ་》《སྣར་》,དཔའི།
,,181,4,《པེ་》《སྣར་》,བྱ་སྟེ།
,,182,5,《པེ་》《སྣར་》,སྟོད།
,64,183,1,《པེ་》《སྣར་》,སོ་སོ་རྣམས།
,,184,2,《པེ་》《སྣར་》,pལ།
,,185,3,《པེ་》《སྣར་》,བྱ་སྟེ།
,,186,4,《པེ་》《སྣར་》,mམེ་ཏོག་གི།
,,187,5,《པེ་》《སྣར་》,བསླངས།
,,188,6,《པེ་》《སྣར་》,བྱའོ།།
,,189,7,《པེ་》《སྣར་》,མཐོར།
,,190,8,《པེ་》《སྣར་》,བཞུགས་པ།
,,191,9,《པེ་》《སྣར་》,mཔ།
,65,192,1,《པེ་》《སྣར་》,དཔའ།
,,193,2,《པེ་》《སྣར་》,བསལ།
,,194,3,《པེ་》《སྣར་》,mལན་གསུམ།
,,195,4,《པེ་》《སྣར་》,pགི།
,66,196,1,《པེ་》《སྣར་》,སརྦྦ།
,,197,2,《པེ་》《སྣར་》,ཨུཏྤ་ཏ་ཡ།
,,198,3,《པེ་》《སྣར་》,བཛྲ་ཡ་ཐཱ།
,,199,4,《པེ་》《སྣར་》,ཀྱིས།
,,200,5,《པེ་》《སྣར་》,mབརྗོད།
,,201,6,《པེ་》《སྣར་》,ཀྱིས།
,,202,7,《པེ་》《སྣར་》,ཡིས།
,,203,8,《སྣར་》,གཞག
,,204,9,《པེ་》《སྣར་》,བསྲེག
,67,205,1,《པེ་》,mཿ།
,,206,2,《པེ་》《སྣར་》,བརླབས་ལས།
,,207,3,《པེ་》《སྣར་》,mལན་གསུམ།
,,208,4,《པེ་》《སྣར་》,mཨ་དམར་པོ་བཀོད་ལ་སྙིང་གར།
,,209,5,《པེ་》《སྣར་》,ལྟོ།
,,210,6,《པེ་》《སྣར་》,ཨཿ།
,,211,7,《པེ་》《སྣར་》,གི་མེ་འབར།
,,212,8,《པེ་》《སྣར་》,ཧ་ཨ།
,,213,9,《པེ་》《སྣར་》,ཕབ།
,,214,10,《པེ་》《སྣར་》,ལྔ།
,68,215,1,《པེ་》《སྣར་》,mདེའི་ལྷའོ། །མེ་ཏོག་བབ་པའི་མཚན་མ་ནི།
,,216,2,《པེ་》《སྣར་》,བརྒལ།
,,217,3,《པེ་》《སྣར་》,ཏྭ།
,,218,4,《པེ་》,ས་མ་ཡ་སྟྭཾ།,《སྣར་》,ས་མ་ཡ་སྟྲི།
,,219,5,《སྣར་》,འགྲུབ་པར་བྱའོ།
,,220,6,《པེ་》《སྣར་》,pདམར་པོ་མཐོང་ན་རྗེས་སུ་ཆགས་པའི་ཡེ་ཤེས་སོ།།
,,221,7,《པེ་》《སྣར་》,ན།
,,222,8,《པེ་》《སྣར་》,ཀྱིས།
,,223,9,《པེ་》《སྣར་》,རྗེ།
,,224,10,《པེ་》《སྣར་》,ཙཀྵུ་ག་ཏ།
,,225,11,《པེ་》《སྣར་》,ཨུད་ཀ་ཏ་ཡ་ཏི་སརྦྦ་ཨཀྵོ།
,69,226,1,《པེ་》《སྣར་》,བཏབ།
,,227,2,《པེ་》《སྣར་》,ཡིས།
,,228,3,《པེ་》《སྣར་》,ཨ།
,,229,4,《པེ་》《སྣར་》,བི།
,,230,5,《པེ་》《སྣར་》,གྱི།
,,231,6,《པེ་》《སྣར་》,པ།
,,232,7,《པེ་》《སྣར་》,མནྟ།
,,233,8,《པེ་》《སྣར་》,ཧཱ་ཧུ་ཏི།
,,234,9,《པེ་》《སྣར་》,གྱི་བསྐུར།
,,235,10,《པེ་》《སྣར་》,mརྡོ་རྗེ་དང་།
,,236,11,《པེ་》《སྣར་》,བུས།
,70,237,1,《པེ་》《སྣར་》,mརོ།།
,,238,2,《པེ་》《སྣར་》,མུ་ཏི་ཏ།
,,239,3,《པེ་》《སྣར་》,རྣམས།
,,240,4,《པེ་》《སྣར་》,mཨཱ་དཪྴ་བི་མ་ལ།
,,241,5,《པེ་》《སྣར་》,བརྟགས།
,,242,6,《པེ་》《སྣར་》,སྣང་།
,,243,7,《པེ་》,ཀྱེའོ།,《སྣར་》,ཀྱེའི།
,,244,8,《པེ་》《སྣར་》,གི།
,,245,9,《པེ་》《སྣར་》,དྷརྨྨཱ།
,,246,10,《པེ་》《སྣར་》,mཔས།
,71,247,1,《པེ་》《སྣར་》,ཨཱཿ།
,,248,2,《པེ་》《སྣར་》,mའདི་སྐད་དུ།
,,249,3,《པེ་》《སྣར་》,བཟུང་།
,,250,4,《པེ་》《སྣར་》,ཀྱིས།
,,251,5,《པེ་》《སྣར་》,ཡིས།
,,252,6,《པེ་》《སྣར་》,རྒྱལ་བ།
,,253,7,《པེ་》《སྣར་》,ཀྱི།
,,254,8,《པེ་》《སྣར་》,ནས།
,,255,9,《པེ་》《སྣར་》,པ།
,,256,10,《པེ་》《སྣར་》,བལྟས།
,,257,11,《པེ་》《སྣར་》,སྦྱངས།
,,258,12,《སྣར་》,བཞུག
,,259,13,《པེ་》《སྣར་》,pབྱང་ཆུབ།
,,260,14,《སྣར་》,བསྒོམ།
,72,261,1,《པེ་》《སྣར་》,གསོལ།
,,262,2,《པེ་》《སྣར་》,mམ།
,,263,3,《པེ་》《སྣར་》,pལ།
,,264,4,《པེ་》《སྣར་》,ཀླུབས།
,,265,5,《པེ་》《སྣར་》,ནི།
,,266,6,《པེ་》《སྣར་》,pསུ།
,,267,7,《པེ་》《སྣར་》,པ།
,,268,8,《པེ་》,ཡིས།
,,269,9,《པེ་》《སྣར་》,mཁོ་ན།
,,270,10,《པེ་》《སྣར་》,ཏོ།
,,271,11,《པེ་》《སྣར་》,mནི།
,,272,12,《པེ་》《སྣར་》,pཔ།
,73,273,1,《པེ་》《སྣར་》,mརྣམ་པར།
,,274,2,《པེ་》《སྣར་》,mབསམ་གཏན་བཞི་རྣམ་པར་དག་པ་ནི་སྒོ་བཞིའོ།།
,,275,3,《པེ་》《སྣར་》,mཀྱིས།
,,276,4,《པེ་》《སྣར་》,mནས།
,,277,5,《པེ་》《སྣར་》,mརྣམ་པར།
,,278,6,《པེ་》《སྣར་》,རྣམ་པ་བཞི།
,,279,7,《པེ་》《སྣར་》,བརྒྱན།
,,280,8,《པེ་》《སྣར་》,།།  །།
,,281,9,《པེ་》《སྣར་》,དགའོ།
,,282,10,《པེ་》《སྣར་》,ན།
,74,283,1,《པེ་》《སྣར་》,རིམ།,,,,,  (འདིའི་འོག་གི་གོ་རིམས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་གོ་རིམ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,284,2,《སྣར་》,རྒྱུད།
,,285,3,《པེ་》《སྣར་》,ཉན།
,75,286,1,《པེ་》《སྣར་》,བསྒྱུར།
,,287,2,《པེ་》《སྣར་》,mཏེ།
,,288,3,《པེ་》《སྣར་》,mདེ།
,,289,4,《པེ་》《སྣར་》,ཡིན།
,,290,5,《པེ་》《སྣར་》,ཡི།
,,291,6,《པེ་》《སྣར་》,ནས།
,,292,7,《པེ་》《སྣར་》,རིགས།
,76,293,1,《པེ་》《སྣར་》,mབདུད་རྩི་རྣམ་པ་ལྔ་དང་།
,,294,2,《པེ་》《སྣར་》,བྱུག
,,295,3,《པེ་》《སྣར་》,རིན་པོ་ཆེ།
,,296,4,《པེ་》《སྣར་》,སྡུག
,,297,5,《པེ་》《སྣར་》,པོའི།
,,298,6,《པེ་》《སྣར་》,ལེགས།
,,299,7,《པེ་》《སྣར་》,ཀྱིས།
,,300,8,《པེ་》《སྣར་》,ཀྱི།
,,301,9,《པེ་》《སྣར་》,སྤྱོད།
,,302,10,《པེ་》《སྣར་》,ལ།
,,303,11,《པེ་》《སྣར་》,སྐམས།
,77,304,1,《པེ་》《སྣར་》,བརླག
,,305,2,《པེ་》《སྣར་》,བསྟོད།
,,306,3,《པེ་》《སྣར་》,ཀྱིས།
,,307,4,《པེ་》《སྣར་》,མཐོང་།
,,308,5,《པེ་》《སྣར་》,བཞག
,,309,6,《པེ་》《སྣར་》,ཀྱི།
,,310,7,《པེ་》《སྣར་》,སྟོད།
,78,311,1,《པེ་》《སྣར་》,བོས།
,,312,2,《པེ་》,ཀྱི།
,79,313,1,《པེ་》《སྣར་》,མ།
,,314,2,《པེ་》《སྣར་》,ལ།
,,315,3,《པེ་》《སྣར་》,ཡི།
,,316,4,《པེ་》《སྣར་》,ཕྱི་མའི།
,,317,5,《པེ་》《སྣར་》,སྐུར།
,,318,6,《པེ་》,བརླབ།
,,319,7,《པེ་》《སྣར་》,mཐུན་མོང་དང་།
,,320,8,《པེ་》《སྣར་》,རྫོགས།
,80,321,1,《པེ་》《སྣར་》,ཡུན་གྱི།
,,322,2,《པེ་》《སྣར་》,སློབ།
,81,323,1,《པེ་》《སྣར་》,སྭཱ།
,,324,2,《པེ་》《སྣར་》,གྱི།
,,325,3,《པེ་》《སྣར་》,ཏཾ།
,,326,4,《པེ་》,མཐོ།
,,327,5,《པེ་》《སྣར་》,mསྲིད་པའི་སྡུག་བསྔལ་ལས་ཁྱོད་འདས། །སྲིད་པ་ཤིན་ཏུ་དག་པས་ན།།
,,328,6,《པེ་》《སྣར་》,པ།
,,329,7,《པེ་》《སྣར་》,བསྒྲུབ་པ་ནི།
,,330,8,《པེ་》《སྣར་》,ན།
,82,331,1,《པེ་》《སྣར་》,ཅི།
,,332,2,《པེ་》《སྣར་》,སྦྱིན།
,,333,3,《པེ་》《སྣར་》,པོའི།
,83,334,1,《པེ་》《སྣར་》,བསྟན།
,,335,2,《པེ་》《སྣར་》,སྡུག
,,336,3,《པེ་》《སྣར་》,བྱས་ནས།
,,337,4,《པེ་》《སྣར་》,ནི་ཞི།
,,338,5,《པེ་》《སྣར་》,གྲྭ།
,,339,6,《པེ་》,བཞི།
,,340,7,《པེ་》《སྣར་》,mཕྱེད་པ་ལ་རྡོ་རྗེ།
,,341,8,《པེ་》《སྣར་》,ཐབས་ཀྱི་དབུས་ཀྱི།
,,342,9,《པེ་》《སྣར་》,mནི།
,84,343,1,《པེ་》《སྣར་》,mདབང་ལ་ནི་པདྨ་དང་པངྨའི་ཕྲེང་བའོ།།
,,344,2,《པེ་》《སྣར་》,pཔར།
,,345,3,《པེ་》《སྣར་》,pཔ།
,,346,4,《པེ་》,དུམ་བ།,《སྣར་》,དུཾ་བ།
,,347,5,《པེ་》《སྣར་》,པོར་སྤྱད།
,,348,6,《པེ་》《སྣར་》,ཆགས།
,,349,7,《པེ་》《སྣར་》,ཤོ།
,,350,8,《པེ་》《སྣར་》,mམངོན་སྤྱོད་ལ་སེང་ལྡེང་དང་པོ་སོན་ཆའི་ཤིང་ལས་སོར་བརྒྱད་པའི་ཚད་དུ་བྱའོ།།
,,351,9,《པེ་》《སྣར་》,ཕ་ཝང་གིས་ཤས།
,,352,10,《པེ་》《སྣར་》,དུར།
,,353,11,《པེ་》《སྣར་》,།  མཆོད་གཡོགས།
,,354,12,《པེ་》《སྣར་》,pཆ།
,,355,13,《སྣར་》,བསད།
,,356,14,《པེ་》《སྣར་》,དུ་བལྟའོ།
,85,357,1,《པེ་》《སྣར་》,སྤངས།
,,358,2,《པེ་》《སྣར་》,pབ།
,,359,3,《པེ་》《སྣར་》,བསྐྱབས།
,,360,4,《པེ་》《ཅོ་》,འགྲང་།
,,361,5,《པེ་》《སྣར་》,mསྐྱེས་པ།
,,362,6,《པེ་》《སྣར་》,pལ་སོགས་པ།
,86,363,1,《པེ་》《སྣར་》,བསད།
,,364,2,《པེ་》《སྣར་》,པ།
,,365,3,《པེ་》《སྣར་》,ཀ
,,366,4,《པེ་》《སྣར་》,mལས།
,,367,5,《པེ་》《སྣར་》,mཟབས་སུ་དེའི་ཕྱིད། ཐབ་ཁུང་གི་ཕྱི་རོལ་དུ་སོར་བཞི།
,,368,6,《པེ་》《སྣར་》,གྲུ།
,,369,7,《པེ་》《སྣར་》,དང་།
,,370,8,《པེ་》《སྣར་》,ལྟ།
,87,371,1,《པེ་》《སྣར་》,དེ།
,,372,2,《པེ་》《སྣར་》,mལོ།
,,373,3,《པེ་》《སྣར་》,mནི་གཡོན་དུ་དགྲམ།
,,374,4,《པེ་》《སྣར་》,པས།
,,375,5,《པེ་》《སྣར་》,mགྱིས།
,,376,6,《པེ་》《སྣར་》,pརྒྱར།
,,377,7,《པེ་》《སྣར་》,mཟབས་སུ་སོར་གཉིས་བླུགས་གཟར་རྒྱར་སོར་བཞི་ཟབས་སུ་སོར་གཉིས་མཆུ་ལ་སོར་བཞི།
,,378,8,《པེ་》《སྣར་》,ཆུ།
,,379,9,《པེ་》《སྣར་》,བུངྔྷ།
,,380,10,《པེ་》《སྣར་》,པ།
,,381,11,《པེ་》《སྣར་》,རི།
,,382,12,《པེ་》《སྣར་》,ཨཛྙ།
,,383,13,《པེ་》《སྣར་》,དུམྦ།
,,384,14,《པེ་》《སྣར་》,ཡེ།
,,385,15,《པེ་》《སྣར་》,ཤྭཏྛའིའོ།
,,386,16,《པེ་》《སྣར་》,ཏྭ།
,,387,17,《པེ་》《སྣར་》,ར་ཡེ།
,,388,18,《པེ་》《སྣར་》,སྔགས།
,88,389,1,《པེ་》《སྣར་》,བོ་ཥཊ་ཧོའི།
,,390,2,《པེ་》《སྣར་》,མ་ནི་ཧྲིའི།
,,391,3,《པེ་》《སྣར་》,mདང་།
,,392,4,《པེ་》《སྣར་》,བསྲེགས།
,,393,5,《པེ་》《སྣར་》,mཿ།
,,394,6,《པེ་》《སྣར་》,ཏྲི་ཏ་སྭཱ་ཧཱ།   ཨརྔྷ་སཱ་དྷ་ཡ་སྨི་སནྣ་བྷ་བ།
,,395,7,《པེ་》《སྣར་》,དྷུ།
,89,396,1,《པེ་》《སྣར་》,བཛྲི་དཱི་པི།
,,397,2,《པེ་》,བིདྱ།,《སྣར་》,བིདྱཱ།
,,398,3,《པེ་》《སྣར་》,ཀྱིས།
,,399,4,《པེ་》《སྣར་》,pགྱི།
,,400,5,《པེ་》《སྣར་》,བྱའོ།
,,401,6,《པེ་》《སྣར་》,བྱའོ།།
,,402,7,《པེ་》《སྣར་》,རཾ་ཛ།
,,403,8,《པེ་》《སྣར་》,ནཱ།
,,404,9,《པེ་》《སྣར་》,བྷུ།
,,405,10,《པེ་》《སྣར་》,དུཥྚཾ།
,,406,11,《པེ་》《སྣར་》,དྲི།
,,407,12,《པེ་》《སྣར་》,རྗེ།
,,408,13,《པེ་》《སྣར་》,pགྱི།
,,409,14,《པེ་》《སྣར་》,འབུལ།
,,410,15,《པེ་》《སྣར་》,mདེ་ནས།
,,411,16,《པེ་》《སྣར་》,བན་ནེ་ཏ་བན་ཛ།
,,412,17,《པེ་》《སྣར་》,ཨ་ཀ་ས་ས་པྲ་ཏི་ཨཱཿཧཱུཾ་པུ་ཛ་ཨཏྨ་པྲ་སི་དྷ།
,,413,18,《པེ་》《སྣར་》,བྱས།
,90,414,1,《པེ་》《སྣར་》,mདེ་ནས།
,,415,2,《པེ་》《སྣར་》,mརང་།
,,416,3,《པེ་》《སྣར་》,mཔ་དང་བསྟོད།
,,417,4,《པེ་》《སྣར་》,pགྱི།
