མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,129,3,《པེ་》《སྣར་》,mན།,,,,,,
,,130,4,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,935,131,1,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,132,2,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,133,3,《པེ་》《སྣར་》,བཟློག,,,,,,
,,134,4,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,936,135,1,《པེ་》《སྣར་》,གི།,,,,,,
,,136,2,《པེ་》《སྣར་》,མཁའི།,,,,,,
,,137,3,《པེ་》《སྣར་》,mགི།,,,,,,
,,138,4,《པེ་》《སྣར་》,དཔེ།,,,,,,
,,139,5,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,140,6,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,141,7,《སྣར་》,mཔ།,,,,,,
,,142,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,143,9,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,144,10,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,145,11,《པེ་》《སྣར་》,mདེ།,,,,,,
,937,146,1,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,147,2,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,148,3,《པེ་》《སྣར་》,སྐྱེ་བའི་བྱ་བ།,,,,,,
,,149,4,《པེ་》《ཅོ་》,ཀྱི།,,,,,,
,,150,5,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,938,151,1,《པེ་》《སྣར་》,བར།,,,,,,
,,152,2,《པེ་》《སྣར་》,བསལ། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་བསྩལ་ཞེས་པ་རྣམས《པེ་》《སྣར་》ལ་བསལ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,153,3,《པེ་》《སྣར་》,པར།,,,,,,
,,154,4,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,155,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,156,6,《པེ་》《སྣར་》,བཀག,,,,,,
,,157,7,《པེ་》《སྣར་》,བཞག,,,,,,
,,158,8,《པེ་》,ཡོན།;《སྣར་》,ཡོད།,,,,,
,939,159,1,《པེ་》《སྣར་》,ནི།,,,,,,
,,160,2,《སྣར་》,རྒྱུ་ནི།,,,,,,
,,161,3,《པེ་》《སྣར་》,mཐ་སྙད་པ་ཡིན་ལ།,,,,,,
,,162,4,《པེ་》《སྣར་》,བཟློག,,,,,,
,,163,5,《པེ་》《སྣར་》,mདང་།,,,,,,
,,164,6,《པེ་》《སྣར་》,pམི།,,,,,,
,940,165,1,《པེ་》《སྣར་》,རང་།,,,,,,
,,166,2,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,167,3,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,941,168,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,169,2,《པེ་》《སྣར་》《ཅོ་》,བཞག,,,,,,
,942,170,1,《པེ་》《སྣར་》,པ།,,,,,,
,,171,2,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,172,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,173,4,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,174,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,175,6,《པེ་》《སྣར་》,བ་ནི།,,,,,,
,943,176,1,《པེ་》《སྣར་》,པ།,,,,,,
,,177,2,《པེ་》《སྣར་》,mདོན་དམ་པར་ཏེ།,,,,,,
,,178,3,《པེ་》《སྣར་》,mཉིད།,,,,,,
,,179,4,《པེ་》《སྣར་》,mདོན།,,,,,,
,,180,5,《པེ་》《སྣར་》,འགག,,,,,,
,944,181,1,《པེ་》《སྣར་》,mདེ་ཡིད་དེ།,,,,,,
,,182,2,《པེ་》《སྣར་》,འགག,,,,,,
,,183,3,《པེ་》《སྣར་》,mཡིད།,,,,,,
,,184,4,《པེ་》《སྣར་》,འགག,,,,,,
,,185,5,《པེ་》《སྣར་》,འགག,,,,,,
,,186,6,《པེ་》《སྣར་》,འགག,,,,,,
,,187,7,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,188,8,《པེ་》《སྣར་》,པར།,,,,,,
,,189,9,《པེ་》《སྣར་》,འགག,,,,,,
,945,190,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,191,2,《པེ་》《སྣར་》,པར།,,,,,,
,946,192,1,《པེ་》《སྣར་》,བཟློག,,,,,,
,,193,2,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,194,3,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,195,4,《པེ་》《སྣར་》,pའབྲས་བུ།,,,,,,
,,196,5,《པེ་》《སྣར་》,དེས།,,,,,,
,,197,6,《པེ་》《སྣར་》,དེ་ལ།,,,,,,
,,198,7,《པེ་》《སྣར་》,mལན།,,,,,,
,,199,8,《པེ་》《སྣར་》,mམེད་ན།,,,,,,
,,200,9,《པེ་》《སྣར་》,གི།,,,,,,
,,201,10,《པེ་》《སྣར་》,mལན།,,,,,,
,,202,11,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,947,203,1,《པེ་》《སྣར་》,འབྲུ།,,,,,,
,,204,2,《པེ་》《སྣར་》,mཞེས་བྱ་བ་ནི།,,,,,,
,,205,3,《པེ་》《སྣར་》,བྱུང་བའི།,,,,,,
,,206,4,《པེ་》《སྣར་》,pབ་ནི་དེ་དག་ལས་གྱུར་པའི་ཕྱིར་ཞེས་བྱ།,,,,,,
,,207,5,《པེ་》《སྣར་》,པས།,,,,,,
,948,208,1,《པེ་》《སྣར་》,pདེ།,,,,,,
,,209,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,210,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,211,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,212,5,《པེ་》《སྣར་》,mཡོད་མིན།,,,,,,
,,213,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,949,214,1,《པེ་》《སྣར་》,mམཚན།,,,,,,
,,215,2,《པེ་》《སྣར་》,ལུང་།,,,,,,
,950,216,1,《པེ་》《སྣར་》,བཞེད།,,,,,,
,,217,2,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,951,218,1,《པེ་》《སྣར་》,བརྟག,,,,,,
,,219,2,《པེ་》《སྣར་》,mན།,,,,,,
,,220,3,《པེ་》《སྣར་》,pམི།,,,,,,
,,221,4,《པེ་》《སྣར་》,pན།,,,,,,
,,222,5,《པེ་》《སྣར་》《ཅོ་》,བཞག,,,,,,
,,223,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,952,224,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,225,2,《པེ་》《སྣར་》,བགོམ།,,,,,,
,,226,3,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,227,4,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,228,5,《པེ་》《སྣར་》,pདེ།,,,,,,
,,229,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,230,7,《པེ་》《སྣར་》,mདེ།,,,,,,
,953,231,1,《པེ་》《སྣར་》,mབཞིན་ནོ་ཞེས་ཟེར་རོ། །དེ་ལ།,,,,,,
,,232,2,《པེ་》《སྣར་》,mབ།,,,,,,
,,233,3,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,234,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,235,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,236,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,237,7,《པེ་》《སྣར་》,mཡང་།,,,,,,
,954,238,1,《པེ་》《སྣར་》,བགོམ།,,,,,,
