མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,166,4,《པེ་》《སྣར་》,pའདུ་བྱེད་རྣམས་གང་ཞེ་ན།,
,,167,5,《པེ་》《སྣར་》,ལྟར།,
,,168,6,《པེ་》《སྣར་》,ཀྱི།,
,103,169,1,《པེ་》《སྣར་》,mསོགས་པ་ལ་འཇུག་ལ།,
,,170,2,《པེ་》《སྣར་》,mབྱ་བ།,
,,171,3,《པེ་》《སྣར་》,mདོན།,
,,172,4,《པེ་》,mདུ།,《སྣར་》,བཞིན།
,,173,5,《ཅོ་》,mནི།,
,,174,6,《སྣར་》,མེད།,
,104,175,1,《པེ་》《སྣར་》,ནོ།,
,,176,2,《པེ་》《སྣར་》,pནི།,
,,177,3,《པེ་》《སྣར་》,གིས།,
,,178,4,《པེ་》《སྣར་》,བར།,
,105,179,1,《པེ་》《སྣར་》,བ།,
,,180,2,《པེ་》《སྣར་》,བཟུང་།,
,,181,3,《པེ་》《སྣར་》,pཚེ།,
,,182,4,《སྣར་》,གཉིས།,
,,183,5,《པེ་》《སྣར་》,པ།,
,,184,6,《པེ་》《སྣར་》,བཟུང་།,
,,185,7,《པེ་》《སྣར་》,གཟུང་།,
,,186,8,《པེ་》《སྣར་》,mརྩ།,
,,187,9,《པེ་》《སྣར་》,བཟུང་།,
,106,188,1,《པེ་》《སྣར་》,mངས།,
,,189,2,《སྣར་》,བསྟོན་པ།,
,,190,3,《སྣར་》,ལྟའོ།,
,,191,4,《པེ་》《སྣར་》,སྟེ།,
,,192,5,《སྣར་》,པའི་གྲོངས།,
,,193,6,《པེ་》《སྣར་》,སྤངས་པའི།,
,,194,7,《སྣར་》,པའི།,
,,195,8,《པེ་》《སྣར་》,སྐོམ།,
,107,196,1,《པེ་》《སྣར་》,བྱའི་ཕྱིར།,
,,197,2,《པེ་》,ཞེས།,
,,198,3,《པེ་》《སྣར་》,ཀྱི།,
,,199,4,《པེ་》,མཚོག,
,,200,5,《པེ་》《སྣར་》,གྱིས།,
,,201,6,《པེ་》《སྣར་》,རྩེ།,
,,202,7,《པེ་》《སྣར་》,འཚལ།,
,108,203,1,《པེ་》《སྣར་》,བསྐྱབ།,
,,204,2,《པེ་》《སྣར་》,ཀླན།,
,,205,3,《པེ་》《སྣར་》,བཤེས།,
,,206,4,《པེ་》《སྣར་》,གི་ཚིག་ནི།,
,109,207,1,《པེ་》《སྣར་》,pདེ།,
,,208,2,《པེ་》《སྣར་》,mཉིད།,
,,209,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,210,4,《པེ་》《སྣར་》,པར།,
,,211,5,《པེ་》《སྣར་》,ཀྱི།,
,,212,6,《པེ་》《སྣར་》,ཏེ།,
,,213,7,《པེ་》,གཤེ་བ།,
,,214,8,《སྣར་》,གྱིས།,
,,215,9,《པེ་》《སྣར་》,pནི།,
,,216,10,《པེ་》,གི།,
,110,217,1,《པེ་》《སྣར་》,གི།,
,,218,2,《པེ་》《སྣར་》,ཏེ།,
,,219,3,《པེ་》《སྣར་》,བཟུང་།,
