མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,138,3,《པེ་》,གསུང་བའི།,,,,,,
,,139,4,《པེ་》《སྣར་》,བཅུར།,,,,,,
,27,140,1,《པེ་》《སྣར་》,ངོ་བོར།,,,,,,
,,141,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,142,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,143,4,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,144,5,《སྣར་》,གང་།,,,,,,
,28,145,1,《པེ་》《སྣར་》,གི།,,,,,,
,,146,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,147,3,《པེ་》《སྣར་》,mདུ།,,,,,,
,29,148,1,《པེ་》,བཞག,,,,,,
,,149,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,150,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,151,4,《པེ་》《སྣར་》,mགསུངས་སོ་ཞེས།,,,,,,
,,152,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,153,6,《པེ་》《སྣར་》,གི།,,,,,,
,,154,7,《པེ་》《སྣར་》,གཉིས།,,,,,,
,,155,8,《པེ་》《སྣར་》,གི།,,,,,,
,30,156,1,《སྣར་》,དེའི།,,,,,,
,,157,2,《པེ་》《སྣར་》,mསྟེ།,,,,,,
,31,158,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,159,2,《པེ་》《སྣར་》,ལྟུང་།,,,,,,
,,160,3,《པེ་》《སྣར་》,ལྟུང་།,,,,,,
,,161,4,《པེ་》《སྣར་》,ལྟུང་།,,,,,,
,,162,5,《པེ་》《སྣར་》,རྫུན།,,,,,,
,,163,6,《པེ་》《སྣར་》,སྟེ།,,,,,,
,32,164,1,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,165,2,《པེ་》《སྣར་》,mསྡེ།,,,,,,
,,166,3,《པེ་》《སྣར་》,mདངོས་པོ་རྣམས་ཀྱང་མཆིས་པར་འགྱུར་ལ་དངོས་པོ་རྣམས་མ་མཆིས་ན་ནི།,,,,,,
,,167,4,《པེ་》《སྣར་》,mརོ།,,,,,,
,,168,5,《པེ་》《སྣར་》,mནི།,,,,,,
,33,169,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,170,2,《པེ་》《སྣར་》,རྒད།,,,,,,
,,171,3,《པེ་》《སྣར་》,mསྡེ།,,,,,,
,,172,4,《པེ་》《སྣར་》,mན།,,,,,,
,,173,5,《པེ་》《སྣར་》,འདུ།,,,,,,
,,174,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,175,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,176,8,《པེ་》《སྣར་》,གི།,,,,,,
,34,177,1,《སྣར་》,ངས།,,,,,,
,,178,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,179,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,,180,4,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,181,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,182,6,《པེ་》《སྣར་》,ཤིང་།,,,,,,
,35,183,1,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,184,2,《སྣར་》,གཅིག,,,,,,
,,185,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,36,186,1,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,187,2,《སྣར་》,mཔར།,,,,,,
,,188,3,《པེ་》《སྣར་》,ཡིད་ཀྱི།,,,,,,
,,189,4,《པེ་》《སྣར་》,བ་པའི།,,,,,,
,,190,5,《པེ་》,དོ།,,,,,,
,37,191,1,《པེ་》,mཔ།,,,,,,
,,192,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,193,3,《སྣར་》,མའམ།,,,,,,
,,194,4,《པེ་》,mཞེས།,,,,,,
,,195,5,《པེ་》《སྣར་》,གི།,,,,,,
,,196,6,《པེ་》《སྣར་》,གི།,,,,,,
,,197,7,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,198,8,《སྣར་》,འཇུག,,,,,,
,,199,9,《སྣར་》,འབྱུང་།,,,,,,
,,200,10,《ཅོ་》,པོའི།,,,,,,
