ཆོས་ཚན།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,,,,,,
,221,1525,1,《པེ་》《སྣར་》,pདེ།,,,,,,
,,1526,2,《པེ་》,འགྲང་།,,,,,,
,,1527,3,《པེ་》《སྣར་》,དེའི།,,,,,,
,,1528,4,《པེ་》《སྣར་》,mཅིག,,,,,,
,,1529,5,《པེ་》《སྣར་》,mབཞི།,,,,,,
,,1530,6,《སྣར་》,pབ།,,,,,,
,222,1531,1,《པེ་》《སྣར་》,འགྲེལ་པ།,,,,,,
,,1532,2,《པེ་》《སྣར་》,མིན།,,,,,,
,,1533,3,《པེ་》《སྣར་》,འགྲིབ།,,,,,,
,223,1534,1,《པེ་》《སྣར་》,སྟོངས།,,,,,,
,,1535,2,《སྣར་》,སྐལ་བ།,,,,,,
,,1536,3,《སྣར་》,pཔ།,,,,,,
,,1537,4,《པེ་》,གིས།,,,,,,
,,1538,5,《པེ་》《སྣར་》,pན།,,,,,,
,,1539,6,《པེ་》《སྣར་》,ཅུ་པའི།,,,,,,
,224,1540,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1541,2,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,1542,3,《ཅོ་》,པོའི།,,,,,,
,,1543,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,1544,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1545,6,《པེ་》《སྣར་》,པ།,,,,,,
,,1546,7,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,1547,8,《པེ་》《སྣར་》,དོན།,,,,,,
,225,1548,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,1549,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,1550,3,《པེ་》《སྣར་》,mཞེས་བྱ་བ་ལ་སོགས་པས་ནི།,,,,,,
,,1551,4,《པེ་》《སྣར་》,ཞུས་པ།,,,,,,
,,1552,5,《པེ་》《སྣར་》,བ།,,,,,,
,,1553,6,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,1554,7,《སྣར་》,རྟོག,,,,,,
,,1555,8,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,226,1556,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,1557,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,1558,3,《སྣར་》,མི་ནོན།,,,,,,
,,1559,4,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,1560,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1561,6,《པེ་》《སྣར་》,གསད།,,,,,,
,,1562,7,《པེ་》《སྣར་》,སྐྱེ་སྟེ།,,,,,,
,227,1563,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,1564,2,《པེ་》《སྣར་》,དོ།,,,,,,
,,1565,3,《པེ་》,ཀྱི།,,,,,,
,,1566,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1567,5,《པེ་》《སྣར་》,མེད།,,,,,,
,,1568,6,《པེ་》,ཀྱིས་གསད།;《སྣར་》,ཀྱི་གསད།,,,,,
,,1569,7,《པེ་》《སྣར་》,གསད།,,,,,,
,,1570,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,228,1571,1,《པེ་》《སྣར་》,རླག,,,,,,
,,1572,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,1573,3,《པེ་》《སྣར་》,mས།,,,,,,
,,1574,4,《པེ་》《སྣར་》,བའི།,,,,,,
,,1575,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1576,6,《པེ་》《སྣར་》,mདེ།,,,,,,
,,1577,7,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,1578,8,《པེ་》《སྣར་》,དེ།,,,,,,
,229,1579,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1580,2,《སྣར་》,བསྐྱེད།,,,,,,
,,1581,3,《པེ་》,པའི།,,,,,,
,,1582,4,《སྣར་》,གཏེར།,,,,,,
,230,1583,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,1584,2,《པེ་》《སྣར་》,mདང་།,,,,,,
,,1585,3,《པེ་》,mདེ།,,,,,,
,,1586,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,1587,5,《པེ་》《སྣར་》,pལྟ།,,,,,,
,,1588,6,《པེ་》,བསྒྱུར།,,,,,,
,,1589,7,《སྣར་》,པོའི།,,,,,,
,,1590,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,,1591,9,《པེ་》《སྣར་》,བའི།,,,,,,
,231,1592,1,《པེ་》,ཟླ་བའི་ཕྱེད།;《སྣར་》,འདའ་བའི་ཕྱེད།,,,,,
,,1593,2,《སྣར་》,pཔས།,,,,,,
,,1594,3,《པེ་》《སྣར་》,གི།,,,,,,
,,1595,4,《པེ་》《སྣར་》,གི།,,,,,,
,,1596,5,《པེ་》《སྣར་》,བསམ།,,,,,,
,,1597,6,《སྣར་》,སཱར།,,,,,,
,,1598,7,《པེ་》《སྣར་》,ན།,,,,,,
,,1599,8,《པེ་》《སྣར་》,བླང་།,,,,,,
,,1600,9,《སྣར་》,གྱི།,,,,,,
,,1601,10,《པེ་》《སྣར་》,pརང་།,,,,,,
,,1602,11,《སྣར་》,ལྔ།,,,,,,
,232,1603,1,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,1604,2,《པེ་》《སྣར་》,mདུ།,,,,,,
,,1605,3,《པེ་》《སྣར་》,གི།,,,,,,
,,1606,4,《པེ་》《སྣར་》,རྟག,,,,,,
,,1607,5,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,1608,6,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,1609,7,《པེ་》《སྣར་》,pལྡན།,,,,,,
,233,1610,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1611,2,《པེ་》《སྣར་》,mདག,,,,,,
,234,1612,1,《པེ་》《སྣར་》,ན།,,,,,,
,,1613,2,《པེ་》《སྣར་》,mཔར་བསྟན།,,,,,,
,,1614,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,1615,4,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,1616,5,《པེ་》《སྣར་》,pཞེས་ཟེར་བ་ནི་སྒྲོ་འདོགས་པ།,,,,,,
,,1617,6,《པེ་》《སྣར་》,གི།,,,,,,
,,1618,7,《སྣར་》,pདུ།,,,,,,
,,1619,8,《པེ་》《སྣར་》,རིག,,,,,,
,,1620,9,《སྣར་》,པར།,,,,,,
,235,1621,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1622,2,《པེ་》《སྣར་》,རྗོད་པའི་དོན།,,,,,,
,,1623,3,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,1624,4,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,1625,5,《པེ་》《སྣར་》,pརིགས་སེམས་ཅན་གྱི།,,,,,,
,,1626,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1627,7,《པེ་》《སྣར་》,བཞག,,,,,,
,236,1628,1,《པེ་》《སྣར་》,འདིའི།,,,,,,
,,1629,2,《པེ་》,ཀྱི།,,,,,,
,,1630,3,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,1631,4,《པེ་》《སྣར་》,པ།,,,,,,
,,1632,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1633,6,《པེ་》《སྣར་》,སྒོམས།,,,,,,
,237,1634,1,《པེ་》《སྣར་》,ཡིན་ནོ།,,,,,,
,,1635,2,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,1636,3,《པེ་》《སྣར་》,དང་།,,,,,,
,,1637,4,《པེ་》,བཟློས།,,,,,,
,,1638,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,1639,6,《པེ་》,བཟློས།,,,,,,
,,1640,7,《པེ་》《སྣར་》,པ།,,,,,,
,,1641,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,238,1642,1,《པེ་》,རྣམས་པ།;《སྣར་》,རྣམ་པ།,,,,,
,,1643,2,《པེ་》《སྣར་》,pདང་།,,,,,,
,,1644,3,《པེ་》《སྣར་》,པ།,,,,,,
,,1645,4,《སྣར་》,pཇི།,,,,,,
,,1646,5,《པེ་》《སྣར་》,mདུ།,,,,,,
,,1647,6,《སྣར་》,བཟུང་།,,,,,,
,239,1648,1,《པེ་》《སྣར་》,པས།,,,,,,
,,1649,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,1650,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,1651,4,《པེ་》《སྣར་》,སྐུལ།,,,,,,
,,1652,5,《སྣར་》,པ་ནི།,,,,,,
,,1653,6,《པེ་》《སྣར་》,བ།,,,,,,
,,1654,7,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,240,1655,1,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,,
,,1656,2,《པེ་》,འཐུན།,,,,,,
,,1657,3,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,1658,4,《པེ་》,རྟོགས།,,,,,,
,,1659,5,《པེ་》《སྣར་》,པོའི།,,,,,,
,,1660,6,《པེ་》《སྣར་》,འཇོམ།,,,,,,
,,1661,7,《པེ་》《སྣར་》,p།   །བམ་པོ་དྲུག་ཅུ་རྩ་དྲུག་པ།,,,,,,
,,1662,8,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1663,9,《པེ་》《སྣར་》,mབམ་པོ་དྲུག་ཅུ་རྩ་དྲུག་པ།,,,,,,
,,1664,10,《པེ་》《སྣར་》,ལེའུ།,,,,,,
,,1665,11,《པེ་》《སྣར་》,པས།,,,,,,
,241,1666,1,《པེ་》,ད།,,,,,,
,,1667,2,《པེ་》,གནས།,,,,,,
,,1668,3,《པེ་》《སྣར་》,གཏན།,,,,,,
,,1669,4,《པེ་》,སྒྲུབ།,,,,,,
,,1670,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,242,1671,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1672,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1673,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1674,4,《པེ་》《སྣར་》,འཕྲིན།,,,,,,
,,1675,5,《སྣར་》,mན།,,,,,,
,,1676,6,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1677,7,《པེ་》《སྣར་》,སུམ་ཅར།,,,,,,
,243,1678,1,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,1679,2,《པེ་》《སྣར་》,པས།,,,,,,
,,1680,3,《པེ་》《སྣར་》,འདིར།,,,,,,
,,1681,4,《པེ་》《སྣར་》,པ།,,,,,,
,,1682,5,《པེ་》《སྣར་》,mདོན་དང༌། དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་གྱི་ཞེས་བྱ་བ་ནས། ཇི་ལྟར་ཡོངས་སུ་བསྲུང་བར་བགྱི་ཞེས་བྱ་བའི་བར་གྱི་བཀའ་བཞིན་དུ་སྒྲུབ་པའི་ཕྱོགས་བསྟན་པའོ། །དེ་ལ་ཡང་དག་པར་བཤད་པའི་,,,,,,
,244,1683,1,《པེ་》《སྣར་》,mའདི།,,,,,,
,,1684,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,1685,3,《པེ་》《སྣར་》,གྱིས་བརླབས།,,,,,,
,,1686,4,《པེ་》《སྣར་》,གི།,,,,,,
,,1687,5,《སྣར་》,mཉིད།,,,,,,
,,1688,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,245,1689,1,《པེ་》,mཔ།,,,,,,
,,1690,2,《པེ་》《སྣར་》,pཕྱིར།,,,,,,
,,1691,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,1692,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1693,5,《སྣར་》,གྱི།,,,,,,
,,1694,6,《པེ་》《སྣར་》,འཕྲེང་།,,,,,,
,,1695,7,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1696,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1697,9,《པེ་》《སྣར་》,pདག,,,,,,
,246,1698,1,《པེ་》《སྣར་》,པ་ཡིན་ཀྱང་།,,,,,,
,,1699,2,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,1700,3,《པེ་》《སྣར་》,པའོ།,,,,,,
,,1701,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1702,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1703,6,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,1704,7,《པེ་》《སྣར་》,mལ།,,,,,,
,247,1705,1,《པེ་》《སྣར་》,mལས།,,,,,,
,,1706,2,《པེ་》《སྣར་》,པ།,,,,,,
,,1707,3,《པེ་》《སྣར་》,པར།,,,,,,
,248,1708,1,《པེ་》《སྣར་》,བཞིན་དུ།,,,,,,
,,1709,2,《པེ་》《སྣར་》,བཞག,,,,,,
,,1710,3,《པེ་》,བསྟན།,,,,,,
,,1711,4,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,1712,5,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,1713,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,1714,7,《པེ་》《སྣར་》,mདོ།,,,,,,
,,1715,8,《པེ་》《སྣར་》,རྒྱ།,,,,,,
,,1716,9,《པེ་》《སྣར་》,པོའི།,,,,,,
,,1717,10,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,249,1718,1,《པེ་》《སྣར་》,པས།,,,,,,
,,1719,2,《པེ་》,བཟུང་བར།;《སྣར་》,བཟུང་བའི།,,,,,
,,1720,3,《པེ་》《སྣར་》,དང་།,,,,,,
,,1721,4,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1722,5,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1723,6,《པེ་》《སྣར་》,པ།,,,,,,
,,1724,7,《པེ་》《སྣར་》,དོ།།,,,,,,
,250,1725,1,《པེ་》《སྣར་》,mརོ་ཞེས།,,,,,,
,,1726,2,《པེ་》,གྱི།,,,,,,
,,1727,3,《པེ་》《སྣར་》,གི།,,,,,,
,,1728,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1729,5,《པེ་》,དཔའ།,,,,,,
,,1730,6,《པེ་》《སྣར་》,དཔེ།,,,,,,
,,1731,7,《པེ་》《སྣར་》,བ།,,,,,,
,251,1732,1,《པེ་》《སྣར་》,pརོ།,,,,,,
,,1733,2,《པེ་》《སྣར་》,དུ།,,,,,,
,,1734,3,《པེ་》《སྣར་》,mས།,,,,,,
,,1735,4,《པེ་》《སྣར་》,ལགས།,,,,,,
,,1736,5,《པེ་》《སྣར་》,བྲལ།,,,,,,
,,1737,6,《པེ་》《སྣར་》,འཐབ།,,,,,,
,,1738,7,《པེ་》《སྣར་》,mའདི།,,,,,,
,,1739,8,《པེ་》《སྣར་》,པས།,,,,,,
,,1740,9,《པེ་》《སྣར་》,ཇིའི་ལུས་ལགས།,,,,,,
,,1741,10,《པེ་》《སྣར་》,འགྲོལ།,,,,,,
,,1742,11,《པེ་》《སྣར་》,དགྲོལ།,,,,,,
,252,1743,1,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,1744,2,《པེ་》《སྣར་》,པོ་སྟེ།,,,,,,
,,1745,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,1746,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,1747,5,《པེ་》,pཅན།,,,,,,
,,1748,6,《པེ་》《སྣར་》,བརྟག,,,,,,
,,1749,7,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,1750,8,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,253,1751,1,《པེ་》《སྣར་》,དགྲོལ།,,,,,,
,,1752,2,《པེ་》《སྣར་》,བའི།,,,,,,
,,1753,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,1754,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,1755,5,《པེ་》《སྣར་》,བ་འཐོབ།,,,,,,
,,1756,6,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,1757,7,《པེ་》《སྣར་》,སོ།,,,,,,
,,1758,8,《པེ་》《སྣར་》,mཡིན།,,,,,,
,,1759,9,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,1760,10,《པེ་》,དོ།,,,,,,
,,1761,11,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,1762,12,《པེ་》《སྣར་》,གི།,,,,,,
,,1763,13,《སྣར་》,བཏགས།,,,,,,
,254,1764,1,《པེ་》《སྣར་》,བཞག,,,,,,
,,1765,2,《པེ་》《སྣར་》,mདང་།,,,,,,
,,1766,3,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,1767,4,《པེ་》《སྣར་》,བ།,,,,,,
,,1768,5,《སྣར་》,མི།,,,,,,
,255,1769,1,《པེ་》《སྣར་》,ཇི།,,,,,,
,,1770,2,《པེ་》《སྣར་》,བུའི།,,,,,,
,,1771,3,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,1772,4,《པེ་》,དོ།,,,,,,
,,1773,5,《པེ་》《སྣར་》,mཔ།,,,,,,
,,1774,6,《པེ་》《སྣར་》,mདུ།,,,,,,
,,1775,7,《པེ་》《སྣར་》,ཧྭང་།,,,,,,
,,1776,8,《པེ་》,འགོགས།,,,,,,
,,1777,9,《པེ་》《སྣར་》,མངོན་དུ།,,,,,,
,256,1778,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1779,2,《པེ་》《སྣར་》,ཕྱེ།,,,,,,
,,1780,3,《པེ་》《སྣར་》,mའདི།,,,,,,
,,1781,4,《པེ་》《སྣར་》,བརླབ།,,,,,,
,257,1782,1,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,,
,,1783,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,1784,3,《པེ་》,དཔའི།,,,,,,
,,1785,4,《པེ་》,ཀྱིས།,,,,,,
,,1786,5,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,1787,6,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,258,1788,1,《པེ་》《སྣར་》,mམེད་པ།,,,,,,
,,1789,2,《སྣར་》,བྱུང་།,,,,,,
,,1790,3,《པེ་》《སྣར་》,སྟོན།,,,,,,
,,1791,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,1792,5,《པེ་》,པའི་བསྟན་ཏེ།;《སྣར་》,པའི་བསྟན་ཏོ།,,,,,
,,1793,6,《པེ་》《སྣར་》,པའི།,,,,,,
,,1794,7,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,1795,8,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,1796,9,《པེ་》《སྣར་》,མཚམས།,,,,,,
,,1797,10,《པེ་》《སྣར་》,གྱི།,,,,,,
,259,1798,1,《པེ་》《སྣར་》,mཡང་རྣམ་པ།,,,,,,
,,1799,2,《པེ་》,པ་ཏེ།;《སྣར་》,སྟེ།,,,,,
,,1800,3,《སྣར་》,མི།,,,,,,
,,1801,4,《སྣར་》,པོ།,,,,,,
,,1802,5,《པེ་》《སྣར་》,བཅས།,,,,,,
,,1803,6,《སྣར་》,བལྟམ།,,,,,,
,260,1804,1,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,1805,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1806,3,《པེ་》《སྣར་》,བསྣན།,,,,,,
,261,1807,1,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,,1808,2,《པེ་》《སྣར་》,པར།,,,,,,
,,1809,3,《པེ་》《སྣར་》,pལ།,,,,,,
,,1810,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,1811,5,《པེ་》《སྣར་》,ནས།,,,,,,
,,1812,6,《པེ་》《སྣར་》,ལ།,,,,,,
,262,1813,1,《པེ་》,དེས།,,,,,,
,,1814,2,《པེ་》《སྣར་》,གཉིས།,,,,,,
,,1815,3,《པེ་》《སྣར་》,བུའི།,,,,,,
,,1816,4,《པེ་》《སྣར་》,གི།,,,,,,
,,1817,5,《པེ་》《སྣར་》,མའི།,,,,,,
,,1818,6,《པེ་》,དྲུག་ཅུ།,,,,,,
,,1819,7,《པེ་》《སྣར་》,mདགེ་བའི།,,,,,,
,,1820,8,《པེ་》《སྣར་》,mགནས།,,,,,,
,,1821,9,《པེ་》《སྣར་》,ནུང་།,,,,,,
,263,1822,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,1823,2,《པེ་》《སྣར་》,གནོད།,,,,,,
,,1824,3,《སྣར་》,རྣམ་པ།,,,,,,
,,1825,4,《པེ་》《སྣར་》,དེས་ན།,,,,,,
,,1826,5,《པེ་》《སྣར་》,ལྱང་།,,,,,,
,,1827,6,《སྣར་》,བཅུ་པའི།,,,,,,
,,1828,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1829,8,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,1830,9,《སྣར་》,མ།,,,,,,
,,1831,10,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,1832,11,《པེ་》《སྣར་》,པ།,,,,,,
,,1833,12,《པེ་》《སྣར་》,ལ།,,,,,,
,,1834,13,《སྣར་》,སྦྱིན།,,,,,,
,264,1835,1,《པེ་》《སྣར་》,བ་རྣམས་བཏགས།,,,,,,
,,1836,2,《པེ་》《སྣར་》,ཡུམ།,,,,,,
,,1837,3,《པེ་》《སྣར་》,ཆེན།,,,,,,
,,1838,4,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,1839,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,1840,6,《པེ་》《སྣར་》,ཆེ་བ་ཡང་མའི།,,,,,,
,,1841,7,《པེ་》,pནི།,,,,,,
,265,1842,1,《པེ་》《སྣར་》,པར།,,,,,,
,,1843,2,《པེ་》,pསོ།,,,,,,
,266,1844,1,《པེ་》《སྣར་》,mཡུམ་གྱི།,,,,,,
,,1845,2,《པེ་》《སྣར་》,pབཞི།,,,,,,
,,1846,3,《སྣར་》,སྦྱིན།,,,,,,
,,1847,4,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,1848,5,《པེ་》《སྣར་》,མཉན།,,,,,,
,,1849,6,《པེ་》,དཔའི།,,,,,,
,,1850,7,《པེ་》《སྣར་》,mཔར་བྱེད།,,,,,,
,,1851,8,《པེ་》,བལྟམ་པ་བལྟམ།;《སྣར་》,བལྟམ་པ་བསྟན། ,,,,,
,,1852,9,《པེ་》《སྣར་》,ནས།,,,,,,
,,1853,10,《པེ་》《སྣར་》,མོ།,,,,,,
,,1854,11,《པེ་》《སྣར་》,བལྟམ།,,,,,,
,267,1855,1,《པེ་》《སྣར་》,བརྩིགས།,,,,,,
,,1856,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,1857,3,《སྣར་》,མཚན།,,,,,,
,,1858,4,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,1859,5,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,1860,6,《པེ་》《སྣར་》,mན།,,,,,,
,,1861,7,《པེ་》《སྣར་》,དེ།,,,,,,
,,1862,8,《པེ་》《སྣར་》,pནི།,,,,,,
,,1863,9,《པེ་》《སྣར་》,ཉེར།,,,,,,
,,1864,10,《པེ་》《སྣར་》,mདུ།,,,,,,
,,1865,11,《པེ་》《སྣར་》,mབདུན།,,,,,,
,,1866,12,《སྣར་》,གི།,,,,,,
,268,1867,1,《པེ་》《སྣར་》,ནས།,,,,,,
,,1868,2,《པེ་》《སྣར་》,pགང་།,,,,,,
,,1869,3,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,,1870,4,《པེ་》《སྣར་》,འཕོངས།,,,,,,
,,1871,5,《པེ་》,ལས།,,,,,,
,269,1872,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,1873,2,《སྣར་》,མོ།,,,,,,
,,1874,3,《པེ་》《སྣར་》,བུའི།,,,,,,
,,1875,4,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,1876,5,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,270,1877,1,《པེ་》《སྣར་》,ཆིབས་སྒ་གཏོད་ཅིག,,,,,,
,,1878,2,《པེ་》《སྣར་》,གི།,,,,,,
,,1879,3,《པེ་》《སྣར་》,ཆིབས་སྒ།,,,,,,
,,1880,4,《པེ་》《སྣར་》,ལས།,,,,,,
,,1881,5,《པེ་》,བཏེགས་ཏེ།,,,,,,
,,1882,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,1883,7,《པེ་》《སྣར་》,སྟེང་།,,,,,,
,,1884,8,《པེ་》《སྣར་》,ལགས།,,,,,,
,,1885,9,《པེ་》《སྣར་》,གྲི།,,,,,,
,,1886,10,《པེ་》《སྣར་》,གྲི།,,,,,,
,,1887,11,《པེ་》《སྣར་》,མནབས།,,,,,,
,,1888,12,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,1889,13,《པེ་》《སྣར་》,mདང་།,,,,,,
,271,1890,1,《པེ་》《སྣར་》,ཟག,,,,,,
,,1891,2,《པེ་》《སྣར་》,mམི།,,,,,,
,272,1892,1,《པེ་》《སྣར་》,གི།,,,,,,
,,1893,2,《སྣར་》,འོག,,,,,,
,,1894,3,《པེ་》《སྣར་》,བཞུ།,,,,,,
,,1895,4,《ཅོ་》,ནམ།,,,,,,
,,1896,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,1897,6,《ཅོ་》,ཐུག,,,,,,
,,1898,7,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,1899,8,《སྣར་》,ངེས།,,,,,,
,,1900,9,《ཅོ་》,མའི།,,,,,,
,,1901,10,《པེ་》《སྣར་》,བྲངས།,,,,,,
,273,1902,1,《པེ་》,གཞེད།,,,,,,
,,1903,2,《པེ་》《སྣར་》,ལོ།,,,,,,
,,1904,3,《པེ་》《སྣར་》,mཡོངས་སུ།,,,,,,
,,1905,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,1906,5,《པེ་》,བཤོམས།;《སྣར་》,གཤོམས།,,,,,
,,1907,6,《པེ་》《སྣར་》,ཅེ།,,,,,,
,,1908,7,《པེ་》《སྣར་》,mསུ།,,,,,,
,274,1909,1,《སྣར་》,གིས།,,,,,,
,,1910,2,《པེ་》《སྣར་》,mལས།,,,,,,
,,1911,3,《པེ་》《སྣར་》,རྩིབས།,,,,,,
,,1912,4,《པེ་》《སྣར་》,གཟིགས།,,,,,,
,,1913,5,《པེ་》《སྣར་》,བབས་ཏེ།,,,,,,
,275,1914,1,《པེ་》《སྣར་》,པར།,,,,,,
,,1915,2,《སྣར་》,ལྟ།,,,,,,
,,1916,3,《པེ་》《སྣར་》,སྦུབ།,,,,,,
,,1917,4,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,1918,5,《སྣར་》,རྩོག,,,,,,
,,1919,6,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,276,1920,1,《པེ་》,བརྙེད།,,,,,,
,,1921,2,《སྣར་》,ལས།,,,,,,
,,1922,3,《པེ་》《སྣར་》,འདས་པ།,,,,,,
,,1923,4,《སྣར་》,རྒྱས།,,,,,,
,,1924,5,《པེ་》《སྣར་》,mསུ།,,,,,,
,,1925,6,《པེ་》《སྣར་》,བཞུགས།,,,,,,
,277,1926,1,《པེ་》《སྣར་》,mདང་འདྲ་བས་མི་བརྟན་པ།,,,,,,
,,1927,2,《པེ་》《སྣར་》,mམ་ཡིན་པ།,,,,,,
,,1928,3,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,1929,4,《པེ་》《སྣར་》,pདེ།,,,,,,
,,1930,5,《སྣར་》,པའི།,,,,,,
,278,1931,1,《པེ་》《སྣར་》,པའི།,,,,,,
