མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,82,4,《པེ་》《སྣར་》,ཀྱིས།,
,,83,5,《པེ་》《སྣར་》,མི།,
,,84,6,《པེ་》《སྣར་》,གིས།,
,,85,7,《པེ་》《སྣར་》,ཀྱིས།,
,,86,8,《པེ་》《སྣར་》,mམ།,
,,87,9,《པེ་》《སྣར་》,pནས།,
,23,88,1,《པེ་》《སྣར་》,དེ།,
,,89,2,《པེ་》《སྣར་》,རིག,
,,90,3,《པེ་》《སྣར་》,ལྟ།,
,,91,4,《པེ་》《སྣར་》,རྟོག,
,,92,5,《པེ་》《སྣར་》,སྟེ།,
,,93,6,《ཅོ་》,ལྟར།,
,,94,7,《པེ་》《སྣར་》,བྱུང་།,
,,95,8,《པེ་》,པ།,
,,96,9,《པེ་》《སྣར་》,རྟེན།,
,,97,10,《སྣར་》,རྟེན།,
,,98,11,《པེ་》《སྣར་》,ཀྱི།,
,,99,12,《པེ་》《སྣར་》,གྲུབ།,
,24,100,1,《སྣར་》,གི།,
,,101,2,《པེ་》《སྣར་》,གྱིས།,
,,102,3,《པེ་》,བྱུང་།,
,,103,4,《པེ་》,ནི།,
,,104,5,《པེ་》《སྣར་》,དཔྱད།,
,,105,6,《པེ་》《སྣར་》,པར།,
,,106,7,《སྣར་》,གྱིས།,
,,107,8,《སྣར་》,གྱིས།,
,,108,9,《པེ་》,pཔར།,
,,109,10,《པེ་》《སྣར་》,ཀྱིས།,
,,110,11,《སྣར་》,གི།,
,,111,12,《པེ་》《སྣར་》,གིས།,
,,112,13,《པེ་》《སྣར་》,ཀ་ཏའི།,
,,113,14,《པེ་》,གྱིས་བརླབས་ཀྱིས།,《སྣར་》,གྱིས་བརླབ་མ་གྱིས།
,,114,15,《པེ་》《སྣར་》,ཐག་བཟངས་རིགས།,
,,115,16,《སྣར་》,པ།,
,25,116,1,《པེ་》《སྣར་》,དེས།,
,,117,2,《པེ་》《སྣར་》,ཀྱིས།,
,,118,3,《པེ་》《སྣར་》,འཆད།,
,,119,4,《པེ་》《སྣར་》,པའི།,
,,120,5,《པེ་》《སྣར་》,སྟོང་།,
,,121,6,《པེ་》《སྣར་》,mཔའི།,
,,122,7,《པེ་》《སྣར་》,གི།,
,,123,8,《པེ་》《སྣར་》,སྒྲུབ།,
,,124,9,《པེ་》《སྣར་》,བར།,
,,125,10,《པེ་》《སྣར་》,ལིངྒའི།,
,,126,11,《པེ་》《སྣར་》,ཏངྒའི།,
,,127,12,《པེ་》《སྣར་》,སྟོང་།,
,,128,13,《པེ་》《སྣར་》,ཀྱི།,
,,129,14,《པེ་》《སྣར་》,རིགས།,
,26,130,1,《པེ་》《སྣར་》,གྱི།,
,,131,2,《པེ་》《སྣར་》,དཔོག,
,,132,3,《པེ་》《སྣར་》,pཡིན།,
,,133,4,《པེ་》《སྣར་》,pཡིན།,
,,134,5,《པེ་》《སྣར་》,གྱི་མཛད་པའི།,
