མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,46,263,1,《པེ་》《སྣར་》,འདྲར།,
,,264,2,《སྣར་》,རྟོག,
,,265,3,《པེ་》,ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ།,《སྣར་》,ཕ་རོལ་ཕྱིན་པ།
,,266,4,《སྣར་》,mསུ།,
,,267,5,《པེ་》《སྣར་》,སྒྲགས།,
,,268,6,《པེ་》《སྣར་》,བརྗོད།,
,,269,7,《པེ་》《སྣར་》,pཡིན་པ།,
,,270,8,《པེ་》《སྣར་》,གཉིས།,
,47,271,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,272,2,《པེ་》《སྣར་》,རབ་བྱ་བ།,
,,273,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,274,4,《པེ་》《སྣར་》,གཞིར།,
,,275,5,《པེ་》《སྣར་》,བཅས།,
,,276,6,《པེ་》《སྣར་》,pཐ་མ།,
,48,277,1,《པེ་》《སྣར་》,པའི།,
,,278,2,《པེ་》《སྣར་》,པ།,
,,279,3,《སྣར་》,བསྒོམས།,
,,280,4,《པེ་》《སྣར་》,བྱས་པའི།,
,,281,5,《པེ་》,ཡོངས་པ།,
,,282,6,《པེ་》《སྣར་》,pདེ།,
,49,283,1,《པེ་》《སྣར་》,ཀྱི།,
,,284,2,《པེ་》《སྣར་》,བར་དུ།,
,,285,3,《པེ་》《སྣར་》,གྱི།,
,,286,4,《པེ་》,ཟུང་།,《སྣར་》,གཟུང་།
,,287,5,《པེ་》《སྣར་》,པའི།,
,,288,6,《སྣར་》,སྡུས།,
,,289,7,《པེ་》《སྣར་》,པའོ།
,,290,8,《པེ་》《སྣར་》,པ།
,,291,9,《པེ་》《སྣར་》,དུ།
,50,292,1,《པེ་》《སྣར་》,pཔ།
,,293,2,《པེ་》《སྣར་》,གཉིས།
,,294,3,《པེ་》《སྣར་》《ཅོ་》,ནི།
,51,295,1,《པེ་》《སྣར་》,བལྟོས།
,,296,2,《པེ་》《སྣར་》,mགི།
,,297,3,《པེ་》《སྣར་》,འཐོབ།
,,298,4,《པེ་》《སྣར་》,pདོན་དེ་ཁྱབ་པའི།
,,299,5,《པེ་》《སྣར་》,སྤངས།
,52,300,1,《པེ་》,pཡིན།
,,301,2,《པེ་》《སྣར་》,པ།
,,302,3,《པེ་》《སྣར་》,གཟུང་།
,,303,4,《པེ་》《སྣར་》,ངེ་།
,,304,5,《པེ་》《སྣར་》,གི།
,,305,6,《པེ་》《སྣར་》,གཟུང་།
,,306,7,《པེ་》《སྣར་》,བརྫུན།
,,307,8,《པེ་》《སྣར་》,འབྲེལ།
,,308,9,《པེ་》《སྣར་》,ཀྱང་།
,,309,10,《པེ་》,པས།
,,310,11,《པེ་》《སྣར་》,གང་ཞིག་འབྲས་བུ།
,53,311,1,《པེ་》《སྣར་》,pབདག་དང་གཞན་གྱི།
,,312,2,《པེ་》《སྣར་》,pན།
,,313,3,《པེ་》《སྣར་》《ཅོ་》,དུ།
,,314,4,《པེ་》《སྣར་》,mཔོ།
,,315,5,《པེ་》《སྣར་》,བརྡར།
,,316,6,《པེ་》《སྣར་》,བུར།
,,317,7,《པེ་》《སྣར་》,pརོ།
,,318,8,《པེ་》《སྣར་》,འཐོབ།
,54,319,1,《པེ་》《སྣར་》,གིས།
,,320,2,《པེ་》《སྣར་》,དཔའ།
,,321,3,《པེ་》,སྤོངས་པ།
,,322,4,《པེ་》,mལྷག་པ་མཐོང་བ་ཉིད།
,,323,5,《པེ་》《སྣར་》,གཟུང་།
,,324,6,《པེ་》《སྣར་》,པའི།
,,325,7,《པེ་》《སྣར་》,སློབ།
,,326,8,《པེ་》《སྣར་》,pརྐྱེན་རྟོགས་ས་ལ་སྟེ་རང་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ཕུན་སུམ་ཚོགས་པ་ལའང་མིན་ནོ།།
,,327,9,《པེ་》《སྣར་》,mཔ།
,,328,10,《པེ་》《སྣར་》,pཔ།
,,329,11,《པེ་》《སྣར་》,pསློབ།
,,330,12,《པེ་》《སྣར་》,གཟུང་།
,,331,13,《སྣར་》,སླབ།
,55,332,1,《སྣར་》,འབྱུང་།
,,333,2,《པེ་》《སྣར་》,པས།
,,334,3,《པེ་》《སྣར་》,གཟུང་།
,,335,4,《པེ་》《སྣར་》,བརྟེན།
,,336,5,《པེ་》《སྣར་》,བསླབས་ཏེ།
,,337,6,《པེ་》《སྣར་》,རིམས་ཀྱིས་ཞེས།
,,338,7,《པེ་》,སྤོངས་པ།
,,339,8,《པེ་》《སྣར་》,སྒོམ།
,,340,9,《པེ་》《སྣར་》,སྒོམ།
,,341,10,《པེ་》《སྣར་》,ཀྱི།
,56,342,1,《པེ་》《སྣར་》,ན།
,,343,2,《པེ་》《སྣར་》,ལམ་པའི།
,,344,3,《པེ་》《སྣར་》,pལ།
,,345,4,《པེ་》,པས།
,,346,5,《པེ་》《སྣར་》,བརྒྱ་བཅུ།
,,347,6,《པེ་》《སྣར་》,ལྟར།
,,348,7,《སྣར་》,སྤངས་པར།
,,349,8,《པེ་》《སྣར་》,བྱད་པ།
,57,350,1,《པེ་》《སྣར་》,pམཐའ་ནི།
,,351,2,《པེ་》《སྣར་》,སྟེ།
,,352,3,《པེ་》《སྣར་》《ཅོ་》,བརྟེན།
,,353,4,《པེ་》《སྣར་》,དག་ཐམས་ཅད་མིང་ཙམ།
,,354,5,《པེ་》《སྣར་》,pནི།
,58,355,1,《པེ་》,pདེ་མ་ཐག
,,356,2,《པེ་》《སྣར་》,བརྟེན།
,,357,3,《པེ་》《སྣར་》,ཀྱི།
,59,358,1,《པེ་》《སྣར་》,mང་།
,,359,2,《པེ་》《སྣར་》,བ་གསུང་ངོ་།
,,360,3,《པེ་》《སྣར་》,གྱིས།
,,361,4,《པེ་》《སྣར་》,pདག་པ།
,,362,5,《སྣར་》,mལམ།
,,363,6,《པེ་》《སྣར་》,སྒོམ།
,,364,7,《པེ་》《སྣར་》,སྒོམ།
,60,365,1,《པེ་》《སྣར་》,བསྲེག
,,366,2,《པེ་》《སྣར་》,གཟུང་།
,,367,3,《པེ་》《སྣར་》,སྒོམ།
,,368,4,《པེ་》《སྣར་》,སྦྲམ།
,,369,5,《པེ་》《སྣར་》,pཔ།,
,61,370,1,《པེ་》《སྣར་》,ལས་ཏེ།,
,,371,2,《པེ་》《སྣར་》,བྱེད།,
,,372,3,《པེ་》《སྣར་》,mཔ།,
,,373,4,《པེ་》《སྣར་》,དབྱེ།,
,,374,5,《པེ་》,བརྟག་པ་བཟུང་།,《སྣར་》,བརྟག་པ་གཟུང་།
,,375,6,《པེ་》《སྣར་》,pལས།,
,,376,7,《པེ་》《སྣར་》,པར།,
,,377,8,《སྣར་》,mགིས།,
,62,378,1,《པེ་》《སྣར་》,གཟུང་།,
,,379,2,《པེ་》《སྣར་》,བས།,
,,380,3,《པེ་》,པོ།,
,,381,4,《པེ་》《སྣར་》,ཞེ་བྱེད་ནི་བསལ།,
,,382,5,《པེ་》《སྣར་》,དཔའི།,
,,383,6,《པེ་》《སྣར་》,ཞེ་ན།,
,,384,7,《པེ་》《སྣར་》,བཅས།,
,63,385,1,《པེ་》《སྣར་》,mལ།
