མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,380,3,《པེ་》《སྣར་》,པའི་འཇིགས།,《ཅོ་》,པས་འཇིག
,,381,4,《པེ་》《སྣར་》,བསྲིང་བའི།,
,,382,5,《པེ་》,ནས།,
,,383,6,《པེ་》《སྣར་》,སྒོམ།,
,,384,7,《པེ་》《སྣར་》,mཔ།,
,,385,8,《པེ་》《སྣར་》,pདང་།,
,,386,9,《པེ་》《སྣར་》,སྒོམ།,
,,387,10,《པེ་》《སྣར་》,མེད་པ།,
,,388,11,《པེ་》《སྣར་》,mསུམ།,
,,389,12,《པེ་》,mལ།,
,,390,13,《པེ་》《སྣར་》,pནི།,
,740,391,1,《པེ་》《སྣར་》,པ་ཐོབ་པས།,
,,392,2,《པེ་》《སྣར་》,པས་ཏེ།,
,,393,3,《པེ་》《སྣར་》,བྱེད།,
,,394,4,《པེ་》《སྣར་》,mནི།,
,,395,5,《པེ་》《སྣར་》,mདུ།,
,,396,6,《པེ་》《སྣར་》,mཞིག,
,741,397,1,《པེ་》《སྣར་》,གྱིས།,
,,398,2,《པེ་》《སྣར་》,ཀྱིས།,
,,399,3,《པེ་》《སྣར་》,ཕྱིར།,
,,400,4,《པེ་》《སྣར་》,pཡང་།,
,,401,5,《པེ་》《སྣར་》,བརྒྱད།,
,,402,6,《པེ་》《སྣར་》,རྩི།,
,,403,7,《པེ་》《སྣར་》,འཕྲོ།,
,,404,8,《པེ་》《སྣར་》,འོངས།,
,,405,9,《པེ་》《སྣར་》,pཞེས་བྱ་བ།,
,,406,10,《པེ་》《སྣར་》,ལ།,
,,407,11,《པེ་》《སྣར་》,པའི།,
,,408,12,《པེ་》《སྣར་》,སྡེ།,
,,409,13,《པེ་》,མོ་པའི་རྣམ།,《སྣར་》,མོ་པའི་རྣམ་པ།
,742,410,1,《པེ་》《སྣར་》,mཔར་བྱེད།,
,,411,2,《པེ་》《སྣར་》,ན།,
,,412,3,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,413,4,《པེ་》《སྣར་》,ལྡོག,
,,414,5,《པེ་》《སྣར་》,པ།,
,,415,6,《པེ་》《སྣར་》,པར།,
,,416,7,《པེ་》《སྣར་》,པ།,
,,417,8,《པེ་》《སྣར་》,ལྡོག,
,,418,9,《པེ་》《སྣར་》,ཀྱི།,
,,419,10,《པེ་》《སྣར་》,ན།,
,,420,11,《པེ་》《སྣར་》,mས།,
,,421,12,《པེ་》《སྣར་》,མའི།,
,,422,13,《པེ་》《སྣར་》,དོ།།,
,743,423,1,《པེ་》《སྣར་》,མོ་པའི།,
,,424,2,《པེ་》《སྣར་》,པ།,
,,425,3,《པེ་》《སྣར་》,གྱིས།,
,,426,4,《པེ་》《སྣར་》,སྐྱེས།,
,,427,5,《པེ་》《སྣར་》,ཀྱིས།,
,,428,6,《པེ་》《སྣར་》,སློབ།,
,,429,7,《པེ་》《སྣར་》,ཏེ།,
,744,430,1,《པེ་》《སྣར་》,སྟོང་།,
,,431,2,《པེ་》《སྣར་》,mདེ།,
,,432,3,《པེ་》《སྣར་》,mབསླབ་པ་ལ་སློབ་ཅིང་།།,
,,433,4,《པེ་》《སྣར་》,ན།,
,,434,5,《པེ་》《སྣར་》,pན།,
,,435,6,《པེ་》《སྣར་》,pཏེ།,
,745,436,1,《སྣར་》,མི།,
,,437,2,《ཅོ་》,mནི།,
,,438,3,《པེ་》,བསྐྱེད།,《སྣར་》,སྐྱེད།
,,439,4,《པེ་》《སྣར་》,mདང་།,
,746,440,1,《པེ་》《སྣར་》,མའི།,
,,441,2,《པེ་》《སྣར་》,mབྲལ་བའི།,
,,442,3,《པེ་》《སྣར་》,ཕྱེ།,
,,443,4,《པེ་》《སྣར་》,ཐོབ།,
,,444,5,《པེ་》《སྣར་》,mལས།,
,,445,6,《པེ་》《སྣར་》,mཡང་།,
,,446,7,《པེ་》《སྣར་》,mདང་།,
,,447,8,《པེ་》《སྣར་》,pལས།,
,,448,9,《པེ་》《སྣར་》,པས།,
,,449,10,《པེ་》《སྣར་》,mདང་།,
,,450,11,《པེ་》《སྣར་》,pལ།,
