མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,116,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,117,5,《པེ་》《སྣར་》,སྐུ་ནི།,,,,,,
,,118,6,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,119,7,《པེ་》《སྣར་》,ན།,,,,,,
,,120,8,《པེ་》《སྣར་》,mཀྱང་།,,,,,,
,760,121,1,《པེ་》《སྣར་》,མདོ།,,,,,,
,761,122,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,123,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,124,3,《སྣར་》,ལ།,,,,,,
,762,125,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,126,2,《པེ་》《སྣར་》,mསོགས་པ་ལ།,,,,,,
,,127,3,《པེ་》《སྣར་》,pཕྱིན་ནས།,,,,,,
,,128,4,《པེ་》《སྣར་》,pགནས་པ་ནི།,,,,,,
,763,129,1,《སྣར་》,བརླབས།,,,,,,
,,130,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,131,3,《པེ་》《སྣར་》,པ།,,,,,,
,,132,4,《པེ་》《སྣར་》,pགཞན།,,,,,,
,,133,5,《པེ་》《སྣར་》,གསལ།,,,,,,
,,134,6,《སྣར་》,mཔ།,,,,,,
,764,135,1,《སྣར་》,བཟུང་།,,,,,,
,,136,2,《པེ་》,mལས།,,,,,,
,,137,3,《པེ་》《སྣར་》,pདང་།,,,,,,
,,138,4,《སྣར་》,mངེ་།,,,,,,
,765,139,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,140,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,141,3,《པེ་》《སྣར་》,པོའི།,,,,,,
,,142,4,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,,143,5,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,144,6,《པེ་》《སྣར་》,mཡང་།,,,,,,
,766,145,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,146,2,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,147,3,《པེ་》《སྣར་》,བ།,,,,,,
,767,148,1,《པེ་》《སྣར་》,པོའི།,,,,,,
,,149,2,《པེ་》《སྣར་》,སྒྲུབས།,,,,,,
,,150,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,768,151,1,《པེ་》《སྣར་》,པ།,,,,,,
,,152,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,153,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,154,4,《པེ་》《སྣར་》,pདོན་རྣམ་པ་མཛད་དེ།,,,,,,
,,155,5,《པེ་》《སྣར་》,དྲངས།,,,,,,
,769,156,1,《པེ་》《སྣར་》,གཞོག་པར།,,,,,,
,,157,2,《པེ་》《སྣར་》,གི།,,,,,,
,,158,3,《པེ་》《སྣར་》,པ།,,,,,,
,,159,4,《པེ་》《སྣར་》,mནི།,,,,,,
,770,160,1,《པེ་》《སྣར་》,པ།,,,,,,
,,161,2,《པེ་》《སྣར་》,pཇི་ལྟར།,,,,,,
,,162,3,《པེ་》《སྣར་》,དཀོད་ནས་ཐེག་པ་ཆེན་པོ་སྤོང་བར་མི་འགྱུར་སྙམ་དུ་དགོངས་ནས།,,,,,,
,,163,4,《པེ་》《སྣར་》,པ།,,,,,,
,,164,5,《པེ་》,mཆེན།,,,,,,
,,165,6,《པེ་》《སྣར་》,pཔ།,,,,,,
,,166,7,《པེ་》,pཔ།,,,,,,
,771,167,1,《པེ་》《སྣར་》,ན།,,,,,,
,,168,2,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,169,3,《པེ་》《སྣར་》,པ།,,,,,,
,772,170,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,773,171,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,172,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,173,3,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,174,4,《པེ་》《སྣར་》,ཞེས་སོ།,,,,,,
,774,175,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,176,2,《པེ་》《སྣར་》,རྫོགས་པར།,,,,,,
,,177,3,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,178,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,179,5,《པེ་》《སྣར་》,སྨོན།,,,,,,
,,180,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,775,181,1,《པེ་》《སྣར་》,mཀྱིས་ཕྱོགས་པ་ནི་རང་སངས་རྒྱས།,,,,,,
,,182,2,《པེ་》《སྣར་》,pདེ།,,,,,,
,,183,3,《པེ་》《སྣར་》,mལ།,,,,,,
,,184,4,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,,185,5,《པེ་》《སྣར་》,གསུངས་པའོ།,,,,,,
,,186,6,《པེ་》《སྣར་》,mཞེས།,,,,,,
,776,187,1,《པེ་》《སྣར་》,mགང་།,,,,,,
,,188,2,《པེ་》《སྣར་》,བཞི།,,,,,,
,,189,3,《པེ་》《སྣར་》,འདི།,,,,,,
,,190,4,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,191,5,《པེ་》《སྣར་》,mནི།,,,,,,
,,192,6,《པེ་》《སྣར་》,དོ།།,,,,,,
,777,193,1,《པེ་》《སྣར་》,སྤང་།,,,,,,
,,194,2,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,195,3,《པེ་》《སྣར་》,དེ།,,,,,,
,778,196,1,《པེ་》《སྣར་》,mཉིད་།,,,,,,
,,197,2,《པེ་》《སྣར་》,mབ།,,,,,,
,,198,3,《པེ་》《སྣར་》,mགང་།,,,,,,
,,199,4,《པེ་》《སྣར་》,mམ།,,,,,,
,,200,5,《པེ་》《སྣར་》,mགྱི།,,,,,,
,779,201,1,《པེ་》《སྣར་》,གདུལ།,,,,,,
,,202,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,203,3,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,204,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,205,5,《སྣར་》,སྐྱེད།,,,,,,
,,206,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,780,207,1,《པེ་》,ཏོ།།,,,,,,
,,208,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,209,3,《པེ་》《སྣར་》,བསྐོལ།,,,,,,
,,210,4,《པེ་》《སྣར་》,mམ།,,,,,,
,781,211,1,《སྣར་》,བྱར།,,,,,,
,,212,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,213,3,《པེ་》《སྣར་》,བཅོས།,,,,,,
,,214,4,《པེ་》《སྣར་》,འགྱུར་བ།,,,,,,
,782,215,1,《པེ་》,པ།,,,,,,
,,216,2,《པེ་》《སྣར་》,mཞེའོ།,,,,,,
,,217,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,218,4,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,,
,,219,5,《པེ་》《སྣར་》,རིག,,,,,,
,783,220,1,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,221,2,《པེ་》《སྣར་》,mསེམས།,,,,,,
,,222,3,《པེ་》《སྣར་》,mཔ་དང་དཔྱོད།,,,,,,
,784,223,1,《སྣར་》,mདེ།,,,,,,
,,224,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,225,3,《པེ་》《སྣར་》,བ།,,,,,,
,,226,4,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,227,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,785,228,1,《སྣར་》,pམི།,,,,,,
,,229,2,《པེ་》《སྣར་》,དཔྱོད།,,,,,,
,,230,3,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,231,4,《པེ་》《སྣར་》,pདེ།,,,,,,
,,232,5,《པེ་》《སྣར་》,mབཤད་པར།,,,,,,
,,233,6,《པེ་》《སྣར་》,ཕྲོད།,,,,,,
,786,234,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,235,2,《པེ་》《སྣར་》,mབྱ་བ་ནི་བཤད་པར།,,,,,,
,,236,3,《པེ་》《སྣར་》,བྱེད་དེ།,,,,,,
,,237,4,《པེ་》《སྣར་》,པོ།,,,,,,
,,238,5,《པེ་》《སྣར་》,pརོ།,,,,,,
,,239,6,《པེ་》《སྣར་》,རིམ།,,,,,,
,787,240,1,《པེ་》《སྣར་》,mཉིད།,,,,,,
,,241,2,《པེ་》《སྣར་》,རིག,,,,,,
,,242,3,《པེ་》《སྣར་》,རིག,,,,,,
,,243,4,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,244,5,《པེ་》《སྣར་》,mདང་།,,,,,,
,788,245,1,《སྣར་》,mནི།,,,,,,
,,246,2,《པེ་》《སྣར་》,mལྟར།,,,,,,
,,247,3,《སྣར་》,ཀྱིས།,,,,,,
,,248,4,《པེ་》《སྣར་》,mགང་།,,,,,,
,789,249,1,《པེ་》《སྣར་》,དང་།,,,,,,
,,250,2,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,251,3,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,790,252,1,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,253,2,《པེ་》《སྣར་》,པར།,,,,,,
,,254,3,《པེ་》《སྣར་》,བར།,,,,,,
,,255,4,《སྣར་》,དེ།,,,,,,
,791,256,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,257,2,《པེ་》《སྣར་》,mནི་དད་པ།,,,,,,
,,258,3,《ཅོ་》,པའི།,,,,,,
,,259,4,《སྣར་》,པར།,,,,,,
,792,260,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,261,2,《པེ་》《སྣར་》,mཔ་ཟབ།,,,,,,
,793,262,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,263,2,《པེ་》《སྣར་》,mསེམས་དང་།,,,,,,
,,264,3,《པེ་》《སྣར་》,མོས།,,,,,,
,,265,4,《པེ་》《སྣར་》,mབྱ་བ་ནི་མ་ཡིན་ནོ་ཞེས།,,,,,,
,794,266,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,267,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,268,3,《པེ་》《སྣར་》,པ།,,,,,,
,,269,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,270,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,271,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,272,7,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,795,273,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,274,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,275,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,276,4,《པེ་》,སྒྲུན།;《སྣར་》,སྒྱུན།,,,,,
,,277,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,278,6,《པེ་》《སྣར་》,mདུ།,,,,,,
,,279,7,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,,280,8,《པེ་》《སྣར་》,རྟེན།,,,,,,
,796,281,1,《པེ་》《སྣར་》,སྦྱོར་བ།,,,,,,
,,282,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,283,3,《པེ་》《སྣར་》,mལས་ནི།,,,,,,
,,284,4,《པེ་》《སྣར་》,pཀྱི་ཆོས།,,,,,,
,,285,5,《པེ་》《སྣར་》,pབ།,,,,,,
,,286,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,797,287,1,《པེ་》《སྣར་》,ཏུ།,,,,,,
,,288,2,《པེ་》《སྣར་》,འགོད།,,,,,,
,,289,3,《པེ་》《སྣར་》,པའོ།,,,,,,
,,290,4,《པེ་》《སྣར་》,འདུན།,,,,,,
,798,291,1,《པེ་》《སྣར་》,ནི།,,,,,,
,,292,2,《པེ་》《སྣར་》,པ།,,,,,,
,,293,3,《པེ་》《སྣར་》,བསྡུ་བར།,,,,,,
,799,294,1,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,295,2,《པེ་》《སྣར་》,བྱའི།,,,,,,
,,296,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,297,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,800,298,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,299,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,300,3,《པེ་》《སྣར་》,mབའོ།,,,,,,
,801,301,1,《པེ་》《སྣར་》,གོང་།,,,,,,
,,302,2,《པེ་》《སྣར་》,mམ།,,,,,,
,,303,3,《པེ་》《སྣར་》,mདག,,,,,,
,,304,4,《སྣར་》,mདོ།,,,,,,
,,305,5,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,306,6,《པེ་》《སྣར་》,པ།,,,,,,
,,307,7,《པེ་》《སྣར་》,ཐོས་ན།,,,,,,
,802,308,1,《པེ་》《སྣར་》,mཞེན་པར།,,,,,,
,,309,2,《པེ་》,mའདི་ནི་དང་པོའོ།།,,,,,,
,,310,3,《པེ་》《སྣར་》,mལ།,,,,,,
,,311,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,312,5,《པེ་》《སྣར་》,གི།,,,,,,
,,313,6,《པེ་》《སྣར་》,mཞེན་པར།,,,,,,
,,314,7,《པེ་》《སྣར་》,པའི།,,,,,,
,803,315,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,316,2,《པེ་》《སྣར་》,mམེད་པ་ཉིད།,,,,,,
,,317,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,804,318,1,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,319,2,《པེ་》《སྣར་》,པ།,,,,,,
,,320,3,《པེ་》《སྣར་》,པ།,,,,,,
,805,321,1,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,322,2,《པེ་》《སྣར་》,དོ།།,,,,,,
,,323,3,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,,324,4,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,,325,5,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,,326,6,《པེ་》《སྣར་》,ན།,,,,,,
,,327,7,《པེ་》《སྣར་》,པར།,,,,,,
,,328,8,《པེ་》《སྣར་》,སྟེ།,,,,,,
,806,329,1,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,,330,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,331,3,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,332,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,333,5,《པེ་》《སྣར་》,སྒྲུབས།,,,,,,
,807,334,1,《པེ་》《སྣར་》,ལེགས།,,,,,,
,,335,2,《པེ་》《སྣར་》,ན།,,,,,,
,,336,3,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,337,4,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,338,5,《པེ་》《སྣར་》,ཡང་།,,,,,,
,808,339,1,《ཅོ་》,བ།,,,,,,
,809,340,1,《པེ་》,mཐོ་བ་ཆེན་པོ།,,,,,,
,,341,2,《པེ་》《སྣར་》,mམ།,,,,,,
,,342,3,《པེ་》《སྣར་》,pལ།,,,,,,
