མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,259,5,《པེ་》《སྣར་》,ནི།,,,,,,
,819,260,1,《པེ་》《སྣར་》,བཅགས།,,,,,,
,,261,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,262,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,263,4,《པེ་》《སྣར་》,pདུ།,,,,,,
,,264,5,《པེ་》《སྣར་》,pཔར།,,,,,,
,820,265,1,《པེ་》,ཀྱི།,,,,,,
,,266,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,267,3,《པེ་》《སྣར་》,རིག,,,,,,
,,268,4,《པེ་》,གཏགས།,,,,,,
,,269,5,《པེ་》,བྱང་།,,,,,,
,821,270,1,《པེ་》《སྣར་》,pཔར།,,,,,,
,,271,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,272,3,《པེ་》《སྣར་》,པ།,,,,,,
,,273,4,《ཅོ་》,འཇིགས།,,,,,,
,822,274,1,《པེ་》《སྣར་》,པ།,,,,,,
,,275,2,《པེ་》,གྲངས།,,,,,,
,,276,3,《པེ་》,ནི།,,,,,,
,,277,4,《སྣར་》,དཀྲོལ།,,,,,,
,,278,5,《པེ་》《སྣར་》,ཟབ།,,,,,,
,,279,6,《ཅོ་》,pབགའ།,,,,,,
,,280,7,《པེ་》《སྣར་》,ཀྱི་བརྟག,,,,,,
,,281,8,《ཅོ་》,ཐོབ།,,,,,,
,,282,9,《པེ་》,བསམ།;《སྣར་》,བསཾ།,,,,,
,,283,10,《སྣར་》,བསྒོམ།,,,,,,
,823,284,1,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,285,2,《པེ་》《སྣར་》,ཅིག,,,,,,
,,286,3,《སྣར་》,ཆུའི།,,,,,,
,,287,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,288,5,《པེ་》《སྣར་》,mདེ།,,,,,,
,824,289,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,290,2,《སྣར་》,ཚིགས།,,,,,,
,825,291,1,《པེ་》,pཔར།,,,,,,
,,292,2,《པེ་》,mརོལ།,,,,,,
,,293,3,《པེ་》,གྲག,,,,,,
,,294,4,《སྣར་》,པར།,,,,,,
,826,295,1,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,296,2,《པེ་》《སྣར་》,mཔར་བྱ།,,,,,,
,,297,3,《པེ་》《སྣར་》,མོངས།,,,,,,
,,298,4,《པེ་》《སྣར་》,རེས།,,,,,,
,,299,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,300,6,《པེ་》《སྣར་》,ན།,,,,,,
,827,301,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,302,2,《པེ་》《སྣར་》,སོགས།,,,,,,
,,303,3,《པེ་》《སྣར་》,སོགས།,,,,,,
,,304,4,《པེ་》《སྣར་》,མིག,,,,,,
,,305,5,《པེ་》《སྣར་》,mསོ།,,,,,,
,828,306,1,《སྣར་》,ཡོད།,,,,,,
,829,307,1,《པེ་》《སྣར་》,pསོགས་པའི་ཕྱིར་དང་།,,,,,,
,830,308,1,《པེ་》,mནི།,,,,,,
,,309,2,《པེ་》《སྣར་》,pརོ།,,,,,,
,,310,3,《པེ་》,འཇིགས།,,,,,,
,,311,4,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,312,5,《པེ་》,འབྱུང་།,,,,,,
,,313,6,《པེ་》《སྣར་》,ལས།,,,,,,
,,314,7,《པེ་》《སྣར་》,ཤིག,,,,,,
,,315,8,《པེ་》《སྣར་》,mཔ།,,,,,,
,,316,9,《པེ་》《སྣར་》,mདང་།,,,,,,
,831,317,1,《པེ་》《སྣར་》,འཇོག,,,,,,
,,318,2,《པེ་》《སྣར་》,ཤིག,,,,,,
,,319,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,320,4,《པེ་》《སྣར་》,ཤིག,,,,,,
,832,321,1,《སྣར་》,ཅིག,,,,,,
,,322,2,《པེ་》《སྣར་》,mསེམས།,,,,,,
,,323,3,《པེ་》,པར།,,,,,,
,,324,4,《པེ་》,རྟོགས།,,,,,,
,,325,5,《པེ་》《སྣར་》,བླང་།,,,,,,
,833,326,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,327,2,《པེ་》《སྣར་》,འབབ།,,,,,,
,,328,3,《པེ་》,གལ།,,,,,,
,,329,4,《ཅོ་》,རྒྱས།,,,,,,
,,330,5,《སྣར་》,རྟོགས།,,,,,,
,,331,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,834,332,1,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,333,2,《པེ་》《སྣར་》,ཤིག,,,,,,
,,334,3,《པེ་》《སྣར་》,ནི།,,,,,,
,,335,4,《པེ་》《སྣར་》,རིག,,,,,,
,,336,5,《སྣར་》,ཚེ།,,,,,,
,,337,6,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,338,7,《སྣར་》,བཏོགས།,,,,,,
